row_label_raw,row_label_full,col_0,Sản phẩm lọc hóa đầu VND,Nhiên liệu sinh học VND,Sản xuất bao bì và thường mai dịch vụ VND,Loại trừ nội bộ VND,Tổng công VND,numeric__Sản phẩm lọc hóa đầu VND,numeric__Nhiên liệu sinh học VND,numeric__Sản xuất bao bì và thường mai dịch vụ VND,numeric__Loại trừ nội bộ VND,numeric__Tổng công VND
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,73.598.254.470.809,4.226.704.650,632.351.515.753,(548.781.875.600),73.686.050.815.612,73598254470809.0,4226704650.0,632351515753.0,-548781875600.0,73686050815612.0
Chi phí sản xuất kinh doanh,Chi phí sản xuất kinh doanh,Chi phí sản xuất kinh doanh,68.640.366.549.386,92.602.886.004,618.420.604.517,(549.837.349.716),68.801.552.690.191,68640366549386.0,92602886004.0,618420604517.0,-549837349716.0,68801552690191.0
- Giá vốn hàng bán,- Giá vốn hàng bán,- Giá vốn hàng bán,67.191.061.143.665,88.155.005.470,600.935.508.842,(527.144.411.496),67.353.007.246.481,67191061143665.0,88155005470.0,600935508842.0,-527144411496.0,67353007246481.0
- Chi phí bán hàng,- Chi phí bán hàng,- Chi phí bán hàng,615.387.317.598,157.195.870,2.901.832.879,(606.858.182),617.839.488.165,615387317598.0,157195870.0,2901832879.0,-606858182.0,617839488165.0
- Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,833.918.088.123,4.290.684.664,14.583.262.796,(22.086.080.038),830.705.955.545,833918088123.0,4290684664.0,14583262796.0,-22086080038.0,830705955545.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,4.957.887.921.423,(88.376.181.354),13.930.911.236,1.055.474.116,4.884.498.125.421,4957887921423.0,-88376181354.0,13930911236.0,1055474116.0,4884498125421.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,928.278.797.340,,,,,928278797340.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,1.098.134.057.429,,,,,1098134057429.0
(Lỗ) khác,(Lỗ) khác,(Lỗ) khác,,,,,(10.819.091.681),,,,,-10819091681.0
Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,,,,,4.703.823.773.651,,,,,4703823773651.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,263.537.333.936,,,,,263537333936.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,4.551.838.552,,,,,4551838552.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,4.435.734.601.163,,,,,4435734601163.0
