row_label_raw,row_label_full,col_0,Sản phẩmloc hóa đầuVND,Nhiên liệusinh họcVND,Sản xuất bao bì vàthường mai dịch vụVND,Loại trừ nôi bộVND,Tổng côngVND,numeric__Sản phẩmloc hóa đầuVND,numeric__Nhiên liệusinh họcVND,numeric__Sản xuất bao bì vàthường mai dịch vụVND,numeric__Loại trừ nôi bộVND,numeric__Tổng côngVND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
Tài sản bộ phận,Tài sản > Tài sản bộ phận,Tài sản bộ phận,61.894.227.075.369,1.576.228.005.259,239.440.266.733,(449.100.898.710),63.260.794.448.651,61894227075369.0,1576228005259.0,239440266733.0,-449100898710.0,63260794448651.0
Tổng tài sản hợp nhất,Tài sản > Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,61.894.227.075.369,1.576.228.005.259,239.440.266.733,(449.100.898.710),63.260.794.448.651,61894227075369.0,1576228005259.0,239440266733.0,-449100898710.0,63260794448651.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,
Nợ phải trả bộ phận,Nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,27.616.599.525.183,1.187.224.412.083,48.818.688.919,(31.652.912.723),28.820.989.713.462,27616599525183.0,1187224412083.0,48818688919.0,-31652912723.0,28820989713462.0
Tổng nợ phải trả hợp nhất,Nợ phải trả > Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,27.616.599.525.183,1.187.224.412.083,48.818.688.919,(31.652.912.723),28.820.989.713.462,27616599525183.0,1187224412083.0,48818688919.0,-31652912723.0,28820989713462.0
