row_label_raw,row_label_full,col_0,Sản phẩm loc hóa dầu VND,Nhiên liệu sinh học VND,Sản xuất bao bi và thường mai dịch vụ VND,Loại trừ nội bộ VND,Tổng công VND,numeric__Sản phẩm loc hóa dầu VND,numeric__Nhiên liệu sinh học VND,numeric__Sản xuất bao bi và thường mai dịch vụ VND,numeric__Loại trừ nội bộ VND,numeric__Tổng công VND
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,81.214.701.822.809,4.465.439.572,605.957.452.957,(492.593.525.558),81.332.531.189.780,81214701822809.0,4465439572.0,605957452957.0,-492593525558.0,81332531189780.0
Chi phí sản xuất kinh doanh,Chi phí sản xuất kinh doanh,Chi phí sản xuất kinh doanh,73.217.360.723.471,82.707.784.703,591.763.199.676,(493.054.441.277),73.398.777.266.573,73217360723471.0,82707784703.0,591763199676.0,-493054441277.0,73398777266573.0
- Giá vốn hàng bán,- Giá vốn hàng bán,- Giá vốn hàng bán,72.053.063.761.022,79.549.827.950,573.883.567.548,(467.027.501.299),72.239.469.655.221,72053063761022.0,79549827950.0,573883567548.0,-467027501299.0,72239469655221.0
- Chi phí bán hàng,- Chi phí bán hàng,- Chi phí bán hàng,584.665.319.067,49.940.800,3.480.152.660,-,588.195.412.527,584665319067.0,49940800.0,3480152660.0,,588195412527.0
- Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,579.631.643.382,3.108.015.953,14.399.479.468,(26.026.939.978),571.112.198.825,579631643382.0,3108015953.0,14399479468.0,-26026939978.0,571112198825.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,7.997.341.099.338,(78.242.345.131),14.194.253.281,460.915.719,7.933.753.923.207,7997341099338.0,-78242345131.0,14194253281.0,460915719.0,7933753923207.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,782.628.947.337,,,,,782628947337.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,571.712.433.072,,,,,571712433072.0
(Lỗ) khác,(Lỗ) khác,(Lỗ) khác,,,,,(34.601.104.322),,,,,-34601104322.0
Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,,,,,8.110.069.333.150,,,,,8110069333150.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,433.696.647.412,,,,,433696647412.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,3.853.841.532,,,,,3853841532.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,7.672.518.844.206,,,,,7672518844206.0
