row_label_raw,row_label_full,Công đoàn Đầu khí Việt Nam > Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam (PTSC),-,17.640.000.000 > 8.330.024.691,numeric__-,numeric__17.640.000.000 > 8.330.024.691
Tổng Công ty cổ phần dịch vụ Tổng Hợp Dầu khí,Tổng Công ty cổ phần dịch vụ Tổng Hợp Dầu khí,Tổng Công ty cổ phần dịch vụ Tổng Hợp Dầu khí,-,1.100.000.000,,1100000000.0
Công ty Cổ phần Đào tạo kỹ thuật PVD,Công ty Cổ phần Đào tạo kỹ thuật PVD,Công ty Cổ phần Đào tạo kỹ thuật PVD,-,602.484.415,,602484415.0
Viện Dầu khí Việt Nam,Viện Dầu khí Việt Nam,Viện Dầu khí Việt Nam,-,312.980.705,,312980705.0
Công ty TNHH Kiểm định Kỹ thuật An toàn Dầu khí Việt Nam,Công ty TNHH Kiểm định Kỹ thuật An toàn Dầu khí Việt Nam,Công ty TNHH Kiểm định Kỹ thuật An toàn Dầu khí Việt Nam,-,45.257.000,,45257000.0
Cổ tức đã trả,Cổ tức đã trả,Cổ tức đã trả,1.166.021.265.000,326.485.954.200,1166021265000.0,326485954200.0
Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,1.166.021.265.000,326.485.954.200,1166021265000.0,326485954200.0
Cổ tức lợi nhuận được chia,Cổ tức lợi nhuận được chia,Cổ tức lợi nhuận được chia,81.164.830.000,26.962.489.000,81164830000.0,26962489000.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,23.437.500.000,6.562.500.000,23437500000.0,6562500000.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,21.675.000.000,5.100.000.000,21675000000.0,5100000000.0
Công ty Cổ phần Phân Bón và Hóa chất Dầu khí Miền Trung,Công ty Cổ phần Phân Bón và Hóa chất Dầu khí Miền Trung,Công ty Cổ phần Phân Bón và Hóa chất Dầu khí Miền Trung,18.750.000.000,9.000.000.000,18750000000.0,9000000000.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,15.300.000.000,6.299.989.000,15300000000.0,6299989000.0
Công ty Cổ Phần Bao bì Đạm Phú Mỹ,Công ty Cổ Phần Bao bì Đạm Phú Mỹ,Công ty Cổ Phần Bao bì Đạm Phú Mỹ,2.002.330.000,-,2002330000.0,
Các khoản vay đã trả,Các khoản vay đã trả,Các khoản vay đã trả,199.568.519.358,194.657.305.390,199568519358.0,194657305390.0
Ngân hàng TMCP Đại Chứng Việt Nam,Ngân hàng TMCP Đại Chứng Việt Nam,Ngân hàng TMCP Đại Chứng Việt Nam,199.568.519.358,194.657.305.390,199568519358.0,194657305390.0
Các khoản vay đã nhận,Các khoản vay đã nhận,Các khoản vay đã nhận,-,49.787.745.286,,49787745286.0
Ngân hàng TMCP Đại Chứng Việt Nam,Ngân hàng TMCP Đại Chứng Việt Nam,Ngân hàng TMCP Đại Chứng Việt Nam,-,49.787.745.286,,49787745286.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,61.123.662.622,67.647.646.187,61123662622.0,67647646187.0
Ngân hàng TMCP Đại Chứng Việt Nam,Ngân hàng TMCP Đại Chứng Việt Nam,Ngân hàng TMCP Đại Chứng Việt Nam,61.123.662.622,67.647.646.187,61123662622.0,67647646187.0
