row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp,Số đã thực nộp trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp,numeric__Số đã thực nộp trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế thu nhập doanh nghiệp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,3.152.818.774,-,-,3.152.818.774,3152818774.0,,,3152818774.0
"Thuế xuất, nhập khẩu","a. Các khoản phải thu > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,-,15.482.225,15.482.225,,,15482225.0,15482225.0
Các loại thuế khác,a. Các khoản phải thu > Các loại thuế khác,Các loại thuế khác,98.916.250,-,-,98.916.250,98916250.0,,,98916250.0
,,,3.251.735.024,-,15.482.225,3.267.217.249,3251735024.0,,15482225.0,3267217249.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,8.890.587.475,141.265.035.924,146.069.692.590,4.085.930.809,8890587475.0,141265035924.0,146069692590.0,4085930809.0
- Thuế GTGT hàng bán nội địa,b. Các khoản phải trả > - Thuế GTGT hàng bán nội địa,- Thuế GTGT hàng bán nội địa,8.890.587.475,105.048.826.338,109.853.483.004,4.085.930.809,8890587475.0,105048826338.0,109853483004.0,4085930809.0
- Thuế GTGT hàng nhập khẩu,b. Các khoản phải trả > - Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,-,36.216.209.586,36.216.209.586,-,,36216209586.0,36216209586.0,
"Thuế xuất, nhập khẩu","b. Các khoản phải trả > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",17.640.572.200,149.390.403.269,167.030.975.469,-,17640572200.0,149390403269.0,167030975469.0,
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,325.561.462.162,1.105.712.654.413,1.155.893.778.102,275.380.338.473,325561462162.0,1105712654413.0,1155893778102.0,275380338473.0
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,7.728.624.524,79.930.497.677,75.908.067.205,11.751.054.996,7728624524.0,79930497677.0,75908067205.0,11751054996.0
Thuế tài nguyên,b. Các khoản phải trả > Thuế tài nguyên,Thuế tài nguyên,337.015.194,3.851.250.344,3.847.825.058,340.440.480,337015194.0,3851250344.0,3847825058.0,340440480.0
Thuế bảo vệ môi trường và các loại thuế khác,b. Các khoản phải trả > Thuế bảo vệ môi trường và các loại thuế khác,Thuế bảo vệ môi trường và các loại thuế khác,180.581.901,2.091.401.230,2.164.410.130,107.573.001,180581901.0,2091401230.0,2164410130.0,107573001.0
- Thuế bảo vệ môi trường,b. Các khoản phải trả > - Thuế bảo vệ môi trường,- Thuế bảo vệ môi trường,180.581.901,495.515.600,568.524.500,107.573.001,180581901.0,495515600.0,568524500.0,107573001.0
- Thuế nhà đất và tiền thuê đất,b. Các khoản phải trả > - Thuế nhà đất và tiền thuê đất,- Thuế nhà đất và tiền thuê đất,-,1.372.197.395,1.372.197.395,-,,1372197395.0,1372197395.0,
- Các loại thuế khác,b. Các khoản phải trả > - Các loại thuế khác,- Các loại thuế khác,-,223.688.235,223.688.235,-,,223688235.0,223688235.0,
,,,360.338.843.456,1.482.241.242.857,1.550.914.748.554,291.665.337.759,360338843456.0,1482241242857.0,1550914748554.0,291665337759.0
