row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Khác VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Khác VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,2.192.446.542.547,8.172.775.563.477,57.524.239.591,310.017.142.319,621.474.208.998,11.354.237.696.932,2192446542547.0,8172775563477.0,57524239591.0,310017142319.0,621474208998.0,11354237696932.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,801.676.827,17.548.196.727,1.940.578.430,16.304.833.268,3.639.715.825,40.235.001.077,801676827.0,17548196727.0,1940578430.0,16304833268.0,3639715825.0,40235001077.0
Chuyển sang Công cụ dụng cụ,NGUYÊN GIÁ > Chuyển sang Công cụ dụng cụ,Chuyển sang Công cụ dụng cụ,-,-,-,(95.216.756.255),-,(95.216.756.255),,,,-95216756255.0,,-95216756255.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",,(1.637.856.157),(3.077.904.000),(1.494.091.043),(112.082.500),(6.321.933.700),,-1637856157.0,-3077904000.0,-1494091043.0,-112082500.0,-6321933700.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,2.193.248.219.374,8.188.685.904.047,56.386.914.021,229.611.128.289,625.001.842.323,11.292.934.008.054,2193248219374.0,8188685904047.0,56386914021.0,229611128289.0,625001842323.0,11292934008054.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.396.641.252.927,6.399.835.513.153,54.704.479.289,272.136.873.828,369.633.771.861,8.492.951.891.058,1396641252927.0,6399835513153.0,54704479289.0,272136873828.0,369633771861.0,8492951891058.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,103.529.173.552,256.085.849.316,1.148.466.663,25.996.672.960,93.717.608.664,480.477.771.155,103529173552.0,256085849316.0,1148466663.0,25996672960.0,93717608664.0,480477771155.0
Chuyển sang Công cụ dụng cụ,GIÁ TRỊ HAO MÒN LỦY KẾ > Chuyển sang Công cụ dụng cụ,Chuyển sang Công cụ dụng cụ,-,-,-,(92.392.839.292),-,(92.392.839.292),,,,-92392839292.0,,-92392839292.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.637.856.157),(3.077.904.000),(1.494.091.043),(112.082.500),(6.321.933.700),,-1637856157.0,-3077904000.0,-1494091043.0,-112082500.0,-6321933700.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.500.170.426.479,6.654.283.506.312,52.775.041.952,204.246.616.453,463.239.298.025,8.874.714.889.221,1500170426479.0,6654283506312.0,52775041952.0,204246616453.0,463239298025.0,8874714889221.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,795.805.289.620,1.772.940.050.324,2.819.760.302,37.880.268.491,251.840.437.137,2.861.285.805.874,795805289620.0,1772940050324.0,2819760302.0,37880268491.0,251840437137.0,2861285805874.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,693.077.792.895,1.534.402.397.735,3.611.872.069,25.364.511.836,161.762.544.298,2.418.219.118.833,693077792895.0,1534402397735.0,3611872069.0,25364511836.0,161762544298.0,2418219118833.0
