row_label_raw,row_label_full,Ngoại tệ,Ngoại tệ_1,Ngoại tệ_2,numeric__Ngoại tệ_1,numeric__Ngoại tệ_2
,,,Số cuối năm,Số đầu năm,,
Đô La Mỹ (USD),Đô La Mỹ (USD),Đô La Mỹ (USD),2.764.228,46.494,2764228.0,46494.0
Euro (EUR),Euro (EUR),Euro (EUR),31.065,32.505,31065.0,32505.0
Tài sản thuê ngoài,Tài sản thuê ngoài,Tài sản thuê ngoài,Tài sản thuê ngoài,Tài sản thuê ngoài,,
,,,Số cuối năm,Số đầu năm,,
,,,VND,VND,,
Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn,,
Trong vòng một năm,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn > Trong vòng một năm,Trong vòng một năm,22.569.579.270,17.835.785.541,22569579270.0,17835785541.0
Từ năm thứ hai đến năm thứ năm,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn > Từ năm thứ hai đến năm thứ năm,Từ năm thứ hai đến năm thứ năm,90.278.317.080,48.905.330.606,90278317080.0,48905330606.0
Sau năm năm,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn > Sau năm năm,Sau năm năm,473.961.164.670,354.378.668.490,473961164670.0,354378668490.0
,,,586.809.061.020,421.119.784.637,586809061020.0,421119784637.0
