row_label_raw,row_label_full,col_0,Dự phòng bảo dưỡng Gas Turbine,"Dự phòng sửa chữa, bảo dưỡng tổng thể cho Nhà máy Đạm Phú Mỹ",Tổng,numeric__Dự phòng bảo dưỡng Gas Turbine,"numeric__Dự phòng sửa chữa, bảo dưỡng tổng thể cho Nhà máy Đạm Phú Mỹ",numeric__Tổng
,,,VND,VND,VND,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,20.327.222.568,-,20.327.222.568,20327222568.0,,20327222568.0
Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,22.854.884.621,214.239.876.162,237.094.760.783,22854884621.0,214239876162.0,237094760783.0
Phân loại lại từ dự phòng phải trả dài hạn,Phân loại lại từ dự phòng phải trả dài hạn,Phân loại lại từ dự phòng phải trả dài hạn,-,165.486.270.110,165.486.270.110,,165486270110.0,165486270110.0
Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,(42.755.951.746),(4.714.571.805),(47.470.523.551),-42755951746.0,-4714571805.0,-47470523551.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,426.155.443,375.011.574.467,375.437.729.910,426155443.0,375011574467.0,375437729910.0
