row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,12.865.257.863.969,8.810.364.218.905,,100.0,,12865257863969.0,8810364218905.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,1.808.047.736.004,2.188.219.575.490,,110.0,4.0,1808047736004.0,2188219575490.0
1.,1.,1.,Tiền,111,,229.047.736.004,454.219.575.490,,111.0,,229047736004.0,454219575490.0
2.,2.,2.,Các khoản tương đương tiền,112,,1.579.000.000.000,1.734.000.000.000,,112.0,,1579000000000.0,1734000000000.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,6.880.000.000.000,3.435.000.000.000,,120.0,5.0,6880000000000.0,3435000000000.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,6.880.000.000.000,3.435.000.000.000,,123.0,,6880000000000.0,3435000000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,471.809.004.056,507.600.510.904,,130.0,,471809004056.0,507600510904.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,227.234.791.466,352.948.945.323,,131.0,6.0,227234791466.0,352948945323.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,86.192.000.501,64.745.171.999,,132.0,7.0,86192000501.0,64745171999.0
3.,3.,3.,Phải thu ngắn hạn khác,136,8,391.808.962.378,323.383.143.871,,136.0,8.0,391808962378.0,323383143871.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,137,9,(233.426.873.759),(233.476.873.759),,137.0,9.0,-233426873759.0,-233476873759.0
5.,5.,5.,Tài sản thiếu chờ xử lý,139,,123.470,123.470,,139.0,,123470.0,123470.0
IV.,IV.,IV.,Hàng tồn kho,140,10,3.425.833.726.401,2.405.764.838.500,,140.0,10.0,3425833726401.0,2405764838500.0
1.,1.,1.,Hàng tồn kho,141,,3.615.102.278.650,2.409.044.704.838,,141.0,,3615102278650.0,2409044704838.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(189.268.552.249),(3.279.866.338),,149.0,,-189268552249.0,-3279866338.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,279.567.397.508,273.779.294.011,,150.0,,279567397508.0,273779294011.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,11,19.886.125.835,13.104.672.883,,151.0,11.0,19886125835.0,13104672883.0
2.,2.,2.,Thuế giá trị gia tầng được khấu trừ,152,,256.414.054.424,257.422.886.104,,152.0,,256414054424.0,257422886104.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,15,3.267.217.249,3.251.735.024,,153.0,15.0,3267217249.0,3251735024.0
