row_label_raw,row_label_full,col_0,Cuôi nămVND,Đâu nămVND,numeric__Cuôi nămVND,numeric__Đâu nămVND
Số dư các khoản cho vay,Số dư các khoản cho vay,Số dư các khoản cho vay,48.500.000.000,34.500.000.000,48500000000.0,34500000000.0
Công ty TNHH MTV Giải pháp công nghệ FPT,Công ty TNHH MTV Giải pháp công nghệ FPT,Công ty TNHH MTV Giải pháp công nghệ FPT,17.500.000.000,17.500.000.000,17500000000.0,17500000000.0
Công ty TNHH Bất động sản FPT,Công ty TNHH Bất động sản FPT,Công ty TNHH Bất động sản FPT,11.000.000.000,17.000.000.000,11000000000.0,17000000000.0
Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,20.000.000.000,-,20000000000.0,
Số dư các khoản đi vay,Số dư các khoản đi vay,Số dư các khoản đi vay,530.000.000.000,400.000.000.000,530000000000.0,400000000000.0
Công ty Cổ phần Synnex FPT,Công ty Cổ phần Synnex FPT,Công ty Cổ phần Synnex FPT,-,200.000.000.000,,200000000000.0
Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,330.000.000.000,200.000.000.000,330000000000.0,200000000000.0
Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,200.000.000.000,-,200000000000.0,
"Phải thu cổ tức, lợi nhuận công ty con chuyển về","Phải thu cổ tức, lợi nhuận công ty con chuyển về","Phải thu cổ tức, lợi nhuận công ty con chuyển về",400.000.000.000,437.656.070.000,400000000000.0,437656070000.0
Công ty TNHH Phần mềm FPT,Công ty TNHH Phần mềm FPT,Công ty TNHH Phần mềm FPT,300.000.000.000,200.000.000.000,300000000000.0,200000000000.0
Công ty Cổ phần Viễn thông FPT,Công ty Cổ phần Viễn thông FPT,Công ty Cổ phần Viễn thông FPT,-,137.656.070.000,,137656070000.0
Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,100.000.000.000,100.000.000.000,100000000000.0,100000000000.0
Phải thu khách hàng ngắn hạn,Phải thu khách hàng ngắn hạn,Phải thu khách hàng ngắn hạn,52.144.151.451,34.276.982.374,52144151451.0,34276982374.0
Công ty Cổ phần Viễn thông FPT,Công ty Cổ phần Viễn thông FPT,Công ty Cổ phần Viễn thông FPT,34.934.927.551,17.052.157.038,34934927551.0,17052157038.0
Công ty TNHH Phần mềm FPT,Công ty TNHH Phần mềm FPT,Công ty TNHH Phần mềm FPT,11.961.489.787,8.363.572.130,11961489787.0,8363572130.0
Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,2.703.490.636,101.581.024,2703490636.0,101581024.0
Công ty Cổ phần Synnex FPT,Công ty Cổ phần Synnex FPT,Công ty Cổ phần Synnex FPT,1.689.699.099,2.959.179.640,1689699099.0,2959179640.0
Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,854.544.378,5.800.492.542,854544378.0,5800492542.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,335.904.473.801,275.768.120.974,335904473801.0,275768120974.0
Công ty TNHH Đầu tư FPT,Công ty TNHH Đầu tư FPT,Công ty TNHH Đầu tư FPT,144.777.571.255,224.488.080.991,144777571255.0,224488080991.0
Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,139.641.223.675,-,139641223675.0,
Công ty Cổ phần Bất động sản FPT,Công ty Cổ phần Bất động sản FPT,Công ty Cổ phần Bất động sản FPT,51.485.678.871,51.280.039.983,51485678871.0,51280039983.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,173.184.566.801,57.704.959.563,173184566801.0,57704959563.0
Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,94.134.808.494,2.724.524.897,94134808494.0,2724524897.0
Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,53.836.619.119,31.819.513.264,53836619119.0,31819513264.0
Công ty TNHH Phần mềm FPT,Công ty TNHH Phần mềm FPT,Công ty TNHH Phần mềm FPT,20.423.793.186,19.485.208.666,20423793186.0,19485208666.0
Công ty Cổ phần Viễn thông FPT,Công ty Cổ phần Viễn thông FPT,Công ty Cổ phần Viễn thông FPT,4.789.346.002,3.675.712.736,4789346002.0,3675712736.0
Phải trả qua tài khoản tập trung,Phải trả qua tài khoản tập trung,Phải trả qua tài khoản tập trung,219.761.640.088,345.250.354.611,219761640088.0,345250354611.0
Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,113.958.310.720,226.198.112.560,113958310720.0,226198112560.0
