row_label_raw,row_label_full,col_0,Số cuối năm > Giá aốc,Số cuối năm > Dư phòng,Số cuối năm > Giá trị hợp lǐ,Số cuối năm > VNDGhi chú,Số đầu năm > Giá aốc,Số đầu năm > Dư phòng,Số đầu năm > Giá trị hợp lǐ,Số đầu năm > VNDGhi chú,numeric__Số cuối năm > Giá aốc,numeric__Số cuối năm > Dư phòng,numeric__Số cuối năm > Giá trị hợp lǐ,numeric__Số cuối năm > VNDGhi chú,numeric__Số đầu năm > Giá aốc,numeric__Số đầu năm > Dư phòng,numeric__Số đầu năm > Giá trị hợp lǐ,numeric__Số đầu năm > VNDGhi chú
b1) Đầu tư vào công ty con,b1) Đầu tư vào công ty con,b1) Đầu tư vào công ty con,4.779.613.409.012,-,11.304.358.703.371,,3.929.613.409.012,(11.348.712.867),,,4779613409012.0,,11304358703371.0,,3929613409012.0,-11348712867.0,,
Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,850.000.000.000,-,1.087.103.578.387,(*),850.000.000.000,-,Không xác định,(***),850000000000.0,,1087103578387.0,,850000000000.0,,,
Công ty TNHH Đầu tư FPT,Công ty TNHH Đầu tư FPT,Công ty TNHH Đầu tư FPT,800.000.000.000,-,953.170.272.644,(*),800.000.000.000,-,Không xác định,(***),800000000000.0,,953170272644.0,,800000000000.0,,,
Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,450.000.000.000,-,642.454.500.452,(*),250.000.000.000,-,Không xác định,(***),450000000000.0,,642454500452.0,,250000000000.0,,,
Công ty TNHH Phân mềm FPT,Công ty TNHH Phân mềm FPT,Công ty TNHH Phân mềm FPT,2.012.073.500.000,-,2.900.034.457.168,(*),1.312.073.500.000,-,Không xác định,(***),2012073500000.0,,2900034457168.0,,1312073500000.0,,,
Công ty Cố phân Viễn thông FPT,Công ty Cố phân Viễn thông FPT,Công ty Cố phân Viễn thông FPT,585.592.515.312,-,5.255.020.446.800,(**),585.592.515.312,-,5.217.688.607.500,(**),585592515312.0,,5255020446800.0,,585592515312.0,,5217688607500.0,
Công ty Cố phân Dịch vụ trực tuyến FPT,Công ty Cố phân Dịch vụ trực tuyến FPT,Công ty Cố phân Dịch vụ trực tuyến FPT,81.947.393.700,-,466.575.447.920,(**),81.947.393.700,-,Không xác định,(***),81947393700.0,,466575447920.0,,81947393700.0,,,
Công ty TNHH Truyền thông và Giải trí FPT,Công ty TNHH Truyền thông và Giải trí FPT,Công ty TNHH Truyền thông và Giải trí FPT,-,-,-,,50.000.000.000,(11.348.712.867),Không xác định,(***),,,,,50000000000.0,-11348712867.0,,
b2) Đầu tư vào công ty liên kết,b2) Đầu tư vào công ty liên kết,b2) Đầu tư vào công ty liên kết,492.500.000.000,-,3.084.846.199.961,,492.500.000.000,,,,492500000000.0,,3084846199961.0,,492500000000.0,,,
Công ty Cố phân Synnex FPT,Công ty Cố phân Synnex FPT,Công ty Cố phân Synnex FPT,398.500.000.000,-,786.922.199.961,(*),398.500.000.000,-,Không xác định,(***),398500000000.0,,786922199961.0,,398500000000.0,,,
Công ty Cố phân Bán lẻ Kỹ thuật số FPT,Công ty Cố phân Bán lẻ Kỹ thuật số FPT,Công ty Cố phân Bán lẻ Kỹ thuật số FPT,94.000.000.000,-,2.297.924.000.000,(**),94.000.000.000,-,Không xác định,(***),94000000000.0,,2297924000000.0,,94000000000.0,,,
b3) Đầu tư vào đơn vị khác,b3) Đầu tư vào đơn vị khác,b3) Đầu tư vào đơn vị khác,500.000.000,-,500.000.000,,500.000.000,-,,,500000000.0,,500000000.0,,500000000.0,,,
Dư án xây dựng đường vành đại 4,Dư án xây dựng đường vành đại 4,Dư án xây dựng đường vành đại 4,500.000.000,-,500.000.000,(*),500.000.000,-,Không xác định,(***),500000000.0,,500000000.0,,500000000.0,,,
