row_label_raw,row_label_full,col_0,Nhà xuốngvà vật kiến trúc,Máy mócvà thiết bị,Thiết bịvăn phòng,Phương tiệnvận tải,Khác,Tổng,numeric__Nhà xuốngvà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Thiết bịvăn phòng,numeric__Phương tiệnvận tải,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,94.646.794.786,46.645.198.075,50.595.713.696,10.697.570.455,376.890.951,202.962.167.963,94646794786.0,46645198075.0,50595713696.0,10697570455.0,376890951.0,202962167963.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,49.168.360,9.413.298.652,-,-,9.462.467.012,,49168360.0,9413298652.0,,,9462467012.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(72.000.000),-,-,(72.000.000),,,-72000000.0,,,-72000000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,94.646.794.786,46.694.366.435,59.937.012.348,10.697.570.455,376.890.951,212.352.634.975,94646794786.0,46694366435.0,59937012348.0,10697570455.0,376890951.0,212352634975.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,44.407.503.053,46.599.969.648,42.412.302.330,2.732.358.839,376.890.951,136.529.024.821,44407503053.0,46599969648.0,42412302330.0,2732358839.0,376890951.0,136529024821.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,3.357.937.340,28.768.543,5.896.008.041,1.782.928.408,-,11.065.642.332,3357937340.0,28768543.0,5896008041.0,1782928408.0,,11065642332.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(197.260),,-,(197.260),,,-197260.0,,,-197260.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,47.765.440.393,46.628.738.191,48.308.113.111,4.515.287.247,376.890.951,147.594.469.893,47765440393.0,46628738191.0,48308113111.0,4515287247.0,376890951.0,147594469893.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,50.239.291.733,45.228.427,8.183.411.366,7.965.211.616,-,66.433.143.142,50239291733.0,45228427.0,8183411366.0,7965211616.0,,66433143142.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,46.881.354.393,65.628.244,11.628.899.237,6.182.283.208,-,64.758.165.082,46881354393.0,65628244.0,11628899237.0,6182283208.0,,64758165082.0
