row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp/thu trong năm,Số đã thực nộp/thu trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp/thu trong năm,numeric__Số đã thực nộp/thu trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế nhập khẩu,a. Các khoản phải thu > Thuế nhập khẩu,Thuế nhập khẩu,34.802.629,-,-,34.802.629,34802629.0,,,34802629.0
,,,34.802.629,-,-,34.802.629,34802629.0,,,34802629.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giả trị gia tăng,b. Các khoản phải trả > Thuế giả trị gia tăng,Thuế giả trị gia tăng,1.006.986.642,2.995.761.364,4.000.454.834,2.293.172,1006986642.0,2995761364.0,4000454834.0,2293172.0
- Thuế GTGT đầu ra,b. Các khoản phải trả > - Thuế GTGT đầu ra,- Thuế GTGT đầu ra,1.004.694.470,2.995.761.364,4.000.454.834,1.000,1004694470.0,2995761364.0,4000454834.0,1000.0
- Thuế GTGT hàng nhập khẩu,b. Các khoản phải trả > - Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,2.292.172,-,-,2.292.172,2292172.0,,,2292172.0
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,48.807.843.352,17.483.628.253,62.737.419.509,3.554.052.096,48807843352.0,17483628253.0,62737419509.0,3554052096.0
Các loại thuê khác,b. Các khoản phải trả > Các loại thuê khác,Các loại thuê khác,1.147.132.274,37.570.772.347,37.602.239.734,1.115.664.887,1147132274.0,37570772347.0,37602239734.0,1115664887.0
Thuế môn bài,b. Các khoản phải trả > Thuế môn bài,Thuế môn bài,-,3.000.000,3.000.000,-,,3000000.0,3000000.0,
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,859.471.864,36.783.136.321,36.623.956.483,1.018.651.702,859471864.0,36783136321.0,36623956483.0,1018651702.0
Thuế khác,b. Các khoản phải trả > Thuế khác,Thuế khác,287.660.410,784.636.026,975.283.251,97.013.185,287660410.0,784636026.0,975283251.0,97013185.0
,,,50.961.962.268,58.050.161.964,104.340.114.077,4.672.010.155,50961962268.0,58050161964.0,104340114077.0,4672010155.0
