row_label_raw,row_label_full,col_0,Phân mềmmáy tính,Tổng,numeric__Phân mềmmáy tính,numeric__Tổng
,,,VND,VND,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,71.226.891.892,71.226.891.892,71226891892.0,71226891892.0
Mua môi trong năm,NGUYÊN GIÁ > Mua môi trong năm,Mua môi trong năm,683.600.000,683.600.000,683600000.0,683600000.0
Chuyển từ xây dựng cơ bản,NGUYÊN GIÁ > Chuyển từ xây dựng cơ bản,Chuyển từ xây dựng cơ bản,5.879.500.000,5.879.500.000,5879500000.0,5879500000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,77.789.991.892,77.789.991.892,77789991892.0,77789991892.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN > Số dư đầu năm,Số dư đầu năm,58.428.696.037,58.428.696.037,58428696037.0,58428696037.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN > Khẩu hao trong năm,Khẩu hao trong năm,4.217.960.600,4.217.960.600,4217960600.0,4217960600.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN > Số dư cuối năm,Số dư cuối năm,62.646.656.637,62.646.656.637,62646656637.0,62646656637.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,12.798.195.855,12.798.195.855,12798195855.0,12798195855.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,15.143.335.255,15.143.335.255,15143335255.0,15143335255.0
