row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ khác thuộc vốn chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,4.594.266.840.000,49.941.441.360,(823.760.000),87.203.093.024,103.009.261,2.516.877.188.825,7.247.567.812.470,4594266840000.0,49941441360.0,-823760000.0,87203093024.0,103009261.0,2516877188825.0,7247567812470.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,22.963.700.000,-,-,-,-,-,22.963.700.000,22963700000.0,,,,,,22963700000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,2.978.995.098.824,2.978.995.098.824,,,,,,2978995098824.0,2978995098824.0
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,-,-,(6.534.482.467),(6.534.482.467),,,,,,-6534482467.0,-6534482467.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,692.380.510.000,-,-,-,-,(692.380.510.000),-,692380510000.0,,,,,-692380510000.0,
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,-,(992.519.407.000),(992.519.407.000),,,,,,-992519407000.0,-992519407000.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,5.309.611.050.000,49.941.441.360,(823.760.000),87.203.093.024,103.009.261,3.804.437.888.182,9.250.472.721.827,5309611050000.0,49941441360.0,-823760000.0,87203093024.0,103009261.0,3804437888182.0,9250472721827.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,26.545.560.000,-,-,-,-,-,26.545.560.000,26545560000.0,,,,,,26545560000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,1.170.437.644.455,1.170.437.644.455,,,,,,1170437644455.0,1170437644455.0
Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),800.211.110.000,-,-,-,-,(800.211.110.000),-,800211110000.0,,,,,-800211110000.0,
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,-,(1.413.854.323.500),(1.413.854.323.500),,,,,,-1413854323500.0,-1413854323500.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,6.136.367.720.000,49.941.441.360,(823.760.000),87.203.093.024,103.009.261,2.760.810.099.137,9.033.601.602.782,6136367720000.0,49941441360.0,-823760000.0,87203093024.0,103009261.0,2760810099137.0,9033601602782.0
