row_label_raw,row_label_full,Tên công ty con,Nơi thành lập và hoạt động,Tỷ lệ phần sở hữu (trực tiếp và gián tiếp),Tỷ lệ quyền biểu quyết nằm giữ,Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ phần sở hữu (trực tiếp và gián tiếp),numeric__Tỷ lệ quyền biểu quyết nằm giữ,numeric__Hoạt động chính
Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,"Tăng 22, tòa nhà Keangnam Landmark 72, E6, Phạm Hùng, Mễ Trì, Từ Liêm, Hà Nội",100%,100%,"Cung cấp giải pháp phăn mềm ứng dụng, dịch vụ ERP, dịch vụ công nghệ thông tin, tích hợp hệ thống",,1.0,1.0,
Công ty TNHH Phăn mềm FPT,Công ty TNHH Phăn mềm FPT,Công ty TNHH Phăn mềm FPT,"Tăng 6-12, tòa nhà FPT Câu Giấy, phổ Duy Tân, quận Câu Giấy, Hà Nội",100%,100%,Cung cấp các dịch vụ và sản phẩm phăn mềm,,1.0,1.0,
Công ty Cổ phần Viễn thông FPT (i),Công ty Cổ phần Viễn thông FPT (i),Công ty Cổ phần Viễn thông FPT (i),"Tăng 2, tòa nhà FPT Câu Giấy, phổ Duy Tân, quận Câu Giấy, Hà Nội","45,65%","45,65%","Cung cấp các dịch vụ ADSL, cho thuê đường truyền, quảng cáo trực tuyến và các dịch vụ trực tuyến khác",,0.45649999999999996,0.45649999999999996,
