row_label_raw,row_label_full,col_0,Số đầu năm > VNDGiá trị/Số có khả năng trả nợ,Trong năm > VNDTăng,Trong năm > Giám,Số cuối năm > VNDGiá trị/Số có khả năng trả nợ,numeric__Số đầu năm > VNDGiá trị/Số có khả năng trả nợ,numeric__Trong năm > VNDTăng,numeric__Trong năm > Giám,numeric__Số cuối năm > VNDGiá trị/Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.274.576.753.185,4.772.626.523.775,(3.935.435.648.779),2.111.767.628.181,1274576753185.0,4772626523775.0,-3935435648779.0,2111767628181.0
Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,291.377.000.713,533.578.116.104,(250.515.000.713),574.440.116.104,291377000713.0,533578116104.0,-250515000713.0,574440116104.0
,,,1.565.953.753.898,5.306.204.639.879,(4.185.950.649.492),2.686.207.744.285,1565953753898.0,5306204639879.0,-4185950649492.0,2686207744285.0
Chi tiết các khoản vay ngắn hạn hiện còn số dư như sau:,Chi tiết các khoản vay ngắn hạn hiện còn số dư như sau:,Chi tiết các khoản vay ngắn hạn hiện còn số dư như sau:,Chi tiết các khoản vay ngắn hạn hiện còn số dư như sau:,Chi tiết các khoản vay ngắn hạn hiện còn số dư như sau:,Chi tiết các khoản vay ngắn hạn hiện còn số dư như sau:,Chi tiết các khoản vay ngắn hạn hiện còn số dư như sau:,,,,
,,,,Loại tiền,Số cuối nămVND,Số đầu nămVND,,,,
Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Thành An,Chi tiết các khoản vay ngắn hạn hiện còn số dư như sau: > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Thành An,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Thành An,,VND,951.258.493.883,400.993.165.167,,,951258493883.0,400993165167.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hà Nội,Chi tiết các khoản vay ngắn hạn hiện còn số dư như sau: > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hà Nội,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hà Nội,,VND,205.288.674.201,252.648.011.672,,,205288674201.0,252648011672.0
Ngân hàng TMCP Quốc tế Việt Nam,Chi tiết các khoản vay ngắn hạn hiện còn số dư như sau: > Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng TMCP Quốc tế Việt Nam,,VND,-,150.906.275.678,,,,150906275678.0
Ngân hàng BNP Paribas - Chi nhánh Hà Nội,Chi tiết các khoản vay ngắn hạn hiện còn số dư như sau: > Ngân hàng BNP Paribas - Chi nhánh Hà Nội,Ngân hàng BNP Paribas - Chi nhánh Hà Nội,,VND,-,171.609.360.756,,,,171609360756.0
Ngân hàng TNHH MTV Shinhan Việt Nam - Chi nhánh Hà Nội,Chi tiết các khoản vay ngắn hạn hiện còn số dư như sau: > Ngân hàng TNHH MTV Shinhan Việt Nam - Chi nhánh Hà Nội,Ngân hàng TNHH MTV Shinhan Việt Nam - Chi nhánh Hà Nội,,VND,109.439.125.546,109.933.069.913,,,109439125546.0,109933069913.0
Ngân hàng TNHH MTV HSBC,Chi tiết các khoản vay ngắn hạn hiện còn số dư như sau: > Ngân hàng TNHH MTV HSBC,Ngân hàng TNHH MTV HSBC,,VND,493.689.156.824,98.415.102.212,,,493689156824.0,98415102212.0
Ngân hàng TMCP Ngoại thương Việt Nam - Sở giao dịch,Chi tiết các khoản vay ngắn hạn hiện còn số dư như sau: > Ngân hàng TMCP Ngoại thương Việt Nam - Sở giao dịch,Ngân hàng TMCP Ngoại thương Việt Nam - Sở giao dịch,,VND,101.683.803.643,87.274.514.998,,,101683803643.0,87274514998.0
Ngân hàng TNHH MTV United Overseas Bank (Việt Nam),Chi tiết các khoản vay ngắn hạn hiện còn số dư như sau: > Ngân hàng TNHH MTV United Overseas Bank (Việt Nam),Ngân hàng TNHH MTV United Overseas Bank (Việt Nam),,VND,64.550.769.895,2.797.252.789,,,64550769895.0,2797252789.0
Ngân hàng Bank of China (Hong Kong) Limited - Chi nhánh TP. Hồ Chí Minh,Chi tiết các khoản vay ngắn hạn hiện còn số dư như sau: > Ngân hàng Bank of China (Hong Kong) Limited - Chi nhánh TP. Hồ Chí Minh,Ngân hàng Bank of China (Hong Kong) Limited - Chi nhánh TP. Hồ Chí Minh,,VND,185.857.604.189,-,,,185857604189.0,
,,,,,2.111.767.628.181,1.274.576.753.185,,,2111767628181.0,1274576753185.0
