row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,VND,VND,VND,VND,,,,
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
PC1 Philippines Inc.,PC1 Philippines Inc.,PC1 Philippines Inc.,48.932.003.976,-,-,-,48932003976.0,,,
Công ty Cổ phần PC1 Năng lượng xanh,Công ty Cổ phần PC1 Năng lượng xanh,Công ty Cổ phần PC1 Năng lượng xanh,-,-,-,-,,,,
"Đầu tư vào công ty liên doanh, liên kết","Công ty Cổ phần PC1 Năng lượng xanh > Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",1.709.938.256.168,(89.961.237.975),1.693.392.656.168,(36.010.501.227),1709938256168.0,-89961237975.0,1693392656168.0,-36010501227.0
Công ty Cổ phần Gang thép Cao Bằng,Công ty Cổ phần PC1 Năng lượng xanh > Công ty Cổ phần Gang thép Cao Bằng,Công ty Cổ phần Gang thép Cao Bằng,124.748.756.168,(89.961.237.975),124.748.756.168,(36.010.501.227),124748756168.0,-89961237975.0,124748756168.0,-36010501227.0
Công ty Cổ phần Đầu tư Bất động sản CT2 (*),Công ty Cổ phần PC1 Năng lượng xanh > Công ty Cổ phần Đầu tư Bất động sản CT2 (*),Công ty Cổ phần Đầu tư Bất động sản CT2 (*),300.000.000.000,-,300.000.000.000,-,300000000000.0,,300000000000.0,
Công ty Cổ phần Western Pacific,Công ty Cổ phần PC1 Năng lượng xanh > Công ty Cổ phần Western Pacific,Công ty Cổ phần Western Pacific,1.200.243.900.000,-,1.200.243.900.000,-,1200243900000.0,,1200243900000.0,
Công ty Cổ phần KCN Quốc tế Vũng Tàu,Công ty Cổ phần PC1 Năng lượng xanh > Công ty Cổ phần KCN Quốc tế Vũng Tàu,Công ty Cổ phần KCN Quốc tế Vũng Tàu,68.400.000.000,-,68.400.000.000,-,68400000000.0,,68400000000.0,
Công ty Cổ phần Tân Thanh,Công ty Cổ phần PC1 Năng lượng xanh > Công ty Cổ phần Tân Thanh,Công ty Cổ phần Tân Thanh,16.545.600.000,-,-,-,16545600000.0,,,
Đầu tư vào đơn vị khác,Công ty Cổ phần PC1 Năng lượng xanh > Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,4.821.770.000,(4.000.000.000),4.821.770.000,(4.000.000.000),4821770000.0,-4000000000.0,4821770000.0,-4000000000.0
Công ty Cổ phần Bê tông Ly tâm Vinaincon,Công ty Cổ phần PC1 Năng lượng xanh > Công ty Cổ phần Bê tông Ly tâm Vinaincon,Công ty Cổ phần Bê tông Ly tâm Vinaincon,4.000.000.000,(4.000.000.000),4.000.000.000,(4.000.000.000),4000000000.0,-4000000000.0,4000000000.0,-4000000000.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (**),Công ty Cổ phần PC1 Năng lượng xanh > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (**),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (**),821.770.000,-,821.770.000,-,821770000.0,,821770000.0,
