row_label_raw,row_label_full,STT,Tên công ty liên kết,Nơi thành lập (hoặc đăng ký) và hoạt động,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,Hoạt động chính,numeric__Tên công ty liên kết,numeric__Nơi thành lập (hoặc đăng ký) và hoạt động,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Hoạt động chính
STT,STT,STT,Tên công ty liên kết,Nơi thành lập (hoặc đăng ký) và hoạt động,Tỷ lệ phần sở hữu,Tỷ lệ quyền biểu quyết nắm giữ,Tỷ lệ phần sở hữu,Tỷ lệ quyền biểu quyết nắm giữ,Hoạt động chính,,,,,,,
1,STT > 1,1,Công ty Cổ phần Gang thép Cao Bằng,Cao Bằng,"25,09%","25,09%","25,09%","25,09%","Khai thác, chế biến và kinh doanh các loại khoáng sản",,,0.2509,0.2509,0.2509,0.2509,
2,STT > 2,2,Công ty Cổ phần Đầu tư Bất động sản CT2,Hà Nội,"49,00%","49,00%","49,00%","49,00%",Đầu tư kinh doanh bất động sản,,,0.49,0.49,0.49,0.49,
3,STT > 3,3,Công ty Cổ phần Western Pacific,Thành phố Hồ Chí Minh,"30,08%","30,08%","30,08%","30,08%",Đầu tư Bất động sản khu công nghiệp,,,0.30079999999999996,0.30079999999999996,0.30079999999999996,0.30079999999999996,
4,STT > 4,4,"Công ty Cổ phần KCN Quốc tế Vũng Tàu (trước đây là ""Công ty Cổ phần Kho bãi Phú Bình"")",Thành phố Hồ Chí Minh,"36,00%","36,00%","36,00%","36,00%","Cho thuê kho, nhà xưởng, lưu giữ hàng hóa",,,0.36,0.36,0.36,0.36,
5,STT > 5,5,Công ty Cổ phần Tân Thanh (i),Ninh Bình,"40,00%","40,00%",-,-,"Khai thác đá, cát, sỏi, đất; chế biến đá các loại",,,0.4,0.4,,,
(i),(i),(i),"Theo Nghị quyết Hội đồng Quản trị số 11/NQ-PC1-HĐQT ngày 03 tháng 4 năm 2025, Hội đồng Quản trị Công ty thông qua việc nhận chuyển nhượng 1.200.000 có phần tại Công ty Cổ phần Tân Thanh tương ứng với 40% vốn điều lệ. Trong năm, Công ty đã hoàn thành việc nhận chuyển nhượng số cổ phần kế trên với giá trị chuyển nhượng là 16.545.600.000 VND.","Theo Nghị quyết Hội đồng Quản trị số 11/NQ-PC1-HĐQT ngày 03 tháng 4 năm 2025, Hội đồng Quản trị Công ty thông qua việc nhận chuyển nhượng 1.200.000 có phần tại Công ty Cổ phần Tân Thanh tương ứng với 40% vốn điều lệ. Trong năm, Công ty đã hoàn thành việc nhận chuyển nhượng số cổ phần kế trên với giá trị chuyển nhượng là 16.545.600.000 VND.","Theo Nghị quyết Hội đồng Quản trị số 11/NQ-PC1-HĐQT ngày 03 tháng 4 năm 2025, Hội đồng Quản trị Công ty thông qua việc nhận chuyển nhượng 1.200.000 có phần tại Công ty Cổ phần Tân Thanh tương ứng với 40% vốn điều lệ. Trong năm, Công ty đã hoàn thành việc nhận chuyển nhượng số cổ phần kế trên với giá trị chuyển nhượng là 16.545.600.000 VND.","Theo Nghị quyết Hội đồng Quản trị số 11/NQ-PC1-HĐQT ngày 03 tháng 4 năm 2025, Hội đồng Quản trị Công ty thông qua việc nhận chuyển nhượng 1.200.000 có phần tại Công ty Cổ phần Tân Thanh tương ứng với 40% vốn điều lệ. Trong năm, Công ty đã hoàn thành việc nhận chuyển nhượng số cổ phần kế trên với giá trị chuyển nhượng là 16.545.600.000 VND.","Theo Nghị quyết Hội đồng Quản trị số 11/NQ-PC1-HĐQT ngày 03 tháng 4 năm 2025, Hội đồng Quản trị Công ty thông qua việc nhận chuyển nhượng 1.200.000 có phần tại Công ty Cổ phần Tân Thanh tương ứng với 40% vốn điều lệ. Trong năm, Công ty đã hoàn thành việc nhận chuyển nhượng số cổ phần kế trên với giá trị chuyển nhượng là 16.545.600.000 VND.","Theo Nghị quyết Hội đồng Quản trị số 11/NQ-PC1-HĐQT ngày 03 tháng 4 năm 2025, Hội đồng Quản trị Công ty thông qua việc nhận chuyển nhượng 1.200.000 có phần tại Công ty Cổ phần Tân Thanh tương ứng với 40% vốn điều lệ. Trong năm, Công ty đã hoàn thành việc nhận chuyển nhượng số cổ phần kế trên với giá trị chuyển nhượng là 16.545.600.000 VND.","Theo Nghị quyết Hội đồng Quản trị số 11/NQ-PC1-HĐQT ngày 03 tháng 4 năm 2025, Hội đồng Quản trị Công ty thông qua việc nhận chuyển nhượng 1.200.000 có phần tại Công ty Cổ phần Tân Thanh tương ứng với 40% vốn điều lệ. Trong năm, Công ty đã hoàn thành việc nhận chuyển nhượng số cổ phần kế trên với giá trị chuyển nhượng là 16.545.600.000 VND.",,,,,,,
