row_label_raw,row_label_full,col_0,Số đầu năm,Số đầu năm_1,Số đầu năm_2,Trong năm,Trong năm_1,Trong năm_2,Số cuối năm,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2,numeric__Trong năm,numeric__Trong năm_1,numeric__Trong năm_2,numeric__Số cuối năm
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
,,,Giá trị/Số có khả năng trả nợ,Giá trị/Số có khả năng trả nợ,Giá trị/Số có khả năng trả nợ,Tăng,Giảm,Phân bổ chi phí phát hành trái phiếu,Giá trị/Số có khả năng trả nợ,,,,,,,
Vay dài hạn (i),Vay dài hạn (i),Vay dài hạn (i),2.360.630.064.753,2.360.630.064.753,2.360.630.064.753,338.000.000.000,(313.239.000.713),-,2.385.391.064.040,2360630064753.0,2360630064753.0,2360630064753.0,338000000000.0,-313239000713.0,,2385391064040.0
Trái phiếu thường (ii),Trái phiếu thường (ii),Trái phiếu thường (ii),1.188.673.118.092,1.188.673.118.092,1.188.673.118.092,-,-,4.786.468.186,1.193.459.586.278,1188673118092.0,1188673118092.0,1188673118092.0,,,4786468186.0,1193459586278.0
,,,3.549.303.182.845,3.549.303.182.845,3.549.303.182.845,338.000.000.000,(313.239.000.713),4.786.468.186,3.578.850.650.318,3549303182845.0,3549303182845.0,3549303182845.0,338000000000.0,-313239000713.0,4786468186.0,3578850650318.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,,
- Số phải trả trong vòng 12 tháng,Trong đó: > - Số phải trả trong vòng 12 tháng,- Số phải trả trong vòng 12 tháng,291.377.000.713,291.377.000.713,291.377.000.713,,,,574.440.116.104,291377000713.0,291377000713.0,291377000713.0,,,,574440116104.0
- Số phải trả sau 12 tháng,Trong đó: > - Số phải trả sau 12 tháng,- Số phải trả sau 12 tháng,3.257.926.182.132,3.257.926.182.132,3.257.926.182.132,,,,3.004.410.534.214,3257926182132.0,3257926182132.0,3257926182132.0,,,,3004410534214.0
(i) Thông tin chỉ tiết các khoản vay dài hạn hiện còn số dư như sau:,(i) Thông tin chỉ tiết các khoản vay dài hạn hiện còn số dư như sau:,(i) Thông tin chỉ tiết các khoản vay dài hạn hiện còn số dư như sau:,(i) Thông tin chỉ tiết các khoản vay dài hạn hiện còn số dư như sau:,(i) Thông tin chỉ tiết các khoản vay dài hạn hiện còn số dư như sau:,(i) Thông tin chỉ tiết các khoản vay dài hạn hiện còn số dư như sau:,(i) Thông tin chỉ tiết các khoản vay dài hạn hiện còn số dư như sau:,(i) Thông tin chỉ tiết các khoản vay dài hạn hiện còn số dư như sau:,(i) Thông tin chỉ tiết các khoản vay dài hạn hiện còn số dư như sau:,(i) Thông tin chỉ tiết các khoản vay dài hạn hiện còn số dư như sau:,,,,,,,
,,,Loại tiền,Lãi suất năm,Năm đáo hạn,Tài sản bảo đảm,Tài sản bảo đảm,Số cuối năm VND,Số đầu năm VND,,,,,,,
