row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu nămVND > 2.525.598.762,Số phải nộptrong nămVND > 237.238.050.217,Số đã thực nộp/bù trừ trongnămVND > 201.626.627.694,Số cuối nămVND > 38.137.021.285,numeric__Số đầu nămVND > 2.525.598.762,numeric__Số phải nộptrong nămVND > 237.238.050.217,numeric__Số đã thực nộp/bù trừ trongnămVND > 201.626.627.694,numeric__Số cuối nămVND > 38.137.021.285
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,700.796.585,86.670.579.595,6.909.525.280,80.461.850.900,700796585.0,86670579595.0,6909525280.0,80461850900.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,188.501.486,10.935.785.233,11.079.016.043,45.270.676,188501486.0,10935785233.0,11079016043.0,45270676.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,1.356.361.588,49.240.505.821,48.321.504.358,2.275.363.051,1356361588.0,49240505821.0,48321504358.0,2275363051.0
Thuế nhà đất,Thuế nhà đất,Thuế nhà đất,-,2.940.943.354,2.940.943.354,-,,2940943354.0,2940943354.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,1.009.517.396,660.362.167,349.155.229,,1009517396.0,660362167.0,349155229.0
"Các loại thuế, phí và lệ phíkhác","Các loại thuế, phí và lệ phíkhác","Các loại thuế, phí và lệ phíkhác",3.018.494.736,21.185.716.552,19.538.153.584,4.666.057.704,3018494736.0,21185716552.0,19538153584.0,4666057704.0
,,,7.789.753.157,409.221.098.168,291.076.132.480,125.934.718.845,7789753157.0,409221098168.0,291076132480.0,125934718845.0
