row_label_raw,row_label_full,STT,Tên công ty con,Nơi thành lập (hoặc đăng ký) và hoạt động,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,Hoạt động chính,numeric__Tên công ty con,numeric__Nơi thành lập (hoặc đăng ký) và hoạt động,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Hoạt động chính
STT,STT,STT,Tên công ty con,Nơi thành lập (hoặc đăng ký) và hoạt động,Tỷ lệ phần sở hữu,Tỷ lệ quyền biểu quyết nắm giữ,Tỷ lệ phần sở hữu,Tỷ lệ quyền biểu quyết nắm giữ,Hoạt động chính,,,,,,,
,,,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,,,,,,,
1,STT > 1,1,Công ty Cổ phần PC1 Hà Nội,Hà Nội,"66,00%","66,00%","66,00%","66,00%",Xây lắp điện,,,0.66,0.66,0.66,0.66,
2,STT > 2,2,Công ty Cổ phần PC1 Miền Nam,Thành phố Hồ Chí Minh,"80,00%","80,00%","80,00%","80,00%",Xây lắp điện,,,0.8,0.8,0.8,0.8,
3,STT > 3,3,Công ty Cổ phần PC1 Mỹ Đình,Hà Nội,"80,00%","80,00%","80,00%","80,00%",Xây lắp điện,,,0.8,0.8,0.8,0.8,
4,STT > 4,4,Công ty TNHH MTV Xây lắp điện 1 - Hà Đông,Hà Nội,"100,00%","100,00%","100,00%","100,00%",Xây lắp điện,,,1.0,1.0,1.0,1.0,
5,STT > 5,5,Công ty TNHH MTV PC1 Nàng Hương,Hà Nội,"100,00%","100,00%","100,00%","100,00%",Cung cấp dịch vụ,,,1.0,1.0,1.0,1.0,
6,STT > 6,6,Công ty Cổ phần PC1 Thăng Long,Hà Nội,"66,00%","66,00%","66,00%","66,00%",Xây lắp điện,,,0.66,0.66,0.66,0.66,
7,STT > 7,7,Công ty Cổ phần PC1 Ninh Bình,Ninh Bình,"66,00%","66,00%","66,00%","66,00%",Xây lắp điện,,,0.66,0.66,0.66,0.66,
8,STT > 8,8,Công ty TNHH Chế tạo Cột thép Đông Anh,Hà Nội,"90,00%","90,00%","90,00%","90,00%","Sản xuất các loại cột thép mạ kẽm, kết cấu thép, phụ tùng phụ kiện có liên quan, dịch vụ về mạ; mua bán thép, kẽm, vật tư phục vụ sản xuất, chế tạo kết cấu thép; mua bán vật tư, thiết bị kỹ thuật điện",,,0.9,0.9,0.9,0.9,
9,STT > 9,9,Công ty Cổ phần Thúy diện Trung Thu,Điện Biên,"60,00%","60,00%","60,00%","60,00%",Đầu tư xây dựng các nhà máy thủy điện vừa và nhỏ; Sán xuất và kinh doanh điện năng,,,0.6,0.6,0.6,0.6,
10,STT > 10,10,Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,Hà Nội,"99,39%","99,39%","99,39%","99,39%","Đầu tư, kinh doanh bất động sản",,,0.9939,0.9939,0.9939,0.9939,
11,STT > 11,11,Công ty Cổ phần Lắp máy Công nghiệp Việt Nam,Hà Nội,"51,00%","51,00%","51,00%","51,00%",Lắp đặt máy móc và thiết bị công nghiệp,,,0.51,0.51,0.51,0.51,
12,STT > 12,12,Công ty Cổ phần Cơ khí Ô tô Hòa Bình,Hà Nội,"99,83%","99,83%","99,83%","99,83%","Đầu tư, kinh doanh bất động sản",,,0.9983,0.9983,0.9983,0.9983,
13,STT > 13,13,Công ty Cổ phần Năng lượng Bảo Lâm,Cao Bằng,"99,90%","99,90%","99,90%","99,90%","Tư vấn quản lý dự án thủy điện, quản lý sau đầu tư thủy điện và diện gió",,,0.9990000000000001,0.9990000000000001,0.9990000000000001,0.9990000000000001,
14,STT > 14,14,Công ty Cổ phần Đầu tư Năng lượng Miền Bắc,Cao Bằng,"51,00%","51,00%","51,00%","51,00%",Đầu tư xây dựng các nhà máy thủy điện,,,0.51,0.51,0.51,0.51,
15,STT > 15,15,Công ty Cổ phần Điện gió Liên Lập,Quảng Trị,"55,54%","55,54%","55,54%","55,54%",Sản xuất điện tử năng lượng gió,,,0.5554,0.5554,0.5554,0.5554,
