row_label_raw,row_label_full,Công ty TNHH Hệ thống Truyền tải và Phân phốiToshiba Việt Nam,Số cuối năm > VNDGiá trị ghi số/Số cókhả năng trả nợ > 173.585.852.880,Số đầu năm > VNDGiá trị ghi số/Số cókhả năng trả nợ > -,numeric__Số cuối năm > VNDGiá trị ghi số/Số cókhả năng trả nợ > 173.585.852.880,numeric__Số đầu năm > VNDGiá trị ghi số/Số cókhả năng trả nợ > -
Công ty Cổ Phần PC1 Mỹ Đình,Công ty Cổ Phần PC1 Mỹ Đình,Công ty Cổ Phần PC1 Mỹ Đình,147.048.095.121,89.995.753.094,147048095121.0,89995753094.0
Công ty Cổ Phần PC1 Miền Nam,Công ty Cổ Phần PC1 Miền Nam,Công ty Cổ Phần PC1 Miền Nam,126.425.534.281,179.026.595.225,126425534281.0,179026595225.0
Công ty Cổ phần Thương mại Vật liệu điện Nam Hà Nội,Công ty Cổ phần Thương mại Vật liệu điện Nam Hà Nội,Công ty Cổ phần Thương mại Vật liệu điện Nam Hà Nội,115.346.753.721,-,115346753721.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,901.928.007.338,641.217.901.218,901928007338.0,641217901218.0
,,,1.464.334.243.341,910.240.249.537,1464334243341.0,910240249537.0
Trong đó: Phải trả người bán ngắn hạn là các bên liên quan (Chỉ tiết tại Thuyết minh số 38),Trong đó: Phải trả người bán ngắn hạn là các bên liên quan (Chỉ tiết tại Thuyết minh số 38),Trong đó: Phải trả người bán ngắn hạn là các bên liên quan (Chỉ tiết tại Thuyết minh số 38),449.995.883.418,464.848.286.368,449995883418.0,464848286368.0
