row_label_raw,row_label_full,STT,Tên công ty con > Công ty con của Công ty Cổ phần PC1 Miền Nam,Nơi thành lập (hoặc đăng ký) và hoạt động,Số cuối năm > Tỷ lệ phần sở hữu,Số cuối năm > Tỷ lệ quyền biểu quyết năm giữ,Số đầu năm > Tỷ lệ phần sở hữu,Số đầu năm > Tỷ lệ quyền biểu quyết năm giữ,Hoạt động chính,numeric__Tên công ty con > Công ty con của Công ty Cổ phần PC1 Miền Nam,numeric__Nơi thành lập (hoặc đăng ký) và hoạt động,numeric__Số cuối năm > Tỷ lệ phần sở hữu,numeric__Số cuối năm > Tỷ lệ quyền biểu quyết năm giữ,numeric__Số đầu năm > Tỷ lệ phần sở hữu,numeric__Số đầu năm > Tỷ lệ quyền biểu quyết năm giữ,numeric__Hoạt động chính
3,3,3,Công ty TNHH MTV Xây lắp điện 1 - Từ Liêm,Hà Nội,"80,00%","100,00%","80,00%","100,00%",Xây lắp điện,,,0.8,1.0,0.8,1.0,
(i),(i),(i),"Theo Nghị quyết Hội đồng Quản trị số 05/NQ-PC1-HĐQT ngày 07 tháng 3 năm 2025, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập Công ty Cổ phần Khu Công nghiệp PC1 - Hải Phòng với số tiền là 19.600.000.000 VND, tương ứng với 98% vốn điều lệ. Trong năm, Công ty đã thực góp số tiền là 5.000.000.000 VND.","Theo Nghị quyết Hội đồng Quản trị số 05/NQ-PC1-HĐQT ngày 07 tháng 3 năm 2025, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập Công ty Cổ phần Khu Công nghiệp PC1 - Hải Phòng với số tiền là 19.600.000.000 VND, tương ứng với 98% vốn điều lệ. Trong năm, Công ty đã thực góp số tiền là 5.000.000.000 VND.","Theo Nghị quyết Hội đồng Quản trị số 05/NQ-PC1-HĐQT ngày 07 tháng 3 năm 2025, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập Công ty Cổ phần Khu Công nghiệp PC1 - Hải Phòng với số tiền là 19.600.000.000 VND, tương ứng với 98% vốn điều lệ. Trong năm, Công ty đã thực góp số tiền là 5.000.000.000 VND.","Theo Nghị quyết Hội đồng Quản trị số 05/NQ-PC1-HĐQT ngày 07 tháng 3 năm 2025, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập Công ty Cổ phần Khu Công nghiệp PC1 - Hải Phòng với số tiền là 19.600.000.000 VND, tương ứng với 98% vốn điều lệ. Trong năm, Công ty đã thực góp số tiền là 5.000.000.000 VND.","Theo Nghị quyết Hội đồng Quản trị số 05/NQ-PC1-HĐQT ngày 07 tháng 3 năm 2025, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập Công ty Cổ phần Khu Công nghiệp PC1 - Hải Phòng với số tiền là 19.600.000.000 VND, tương ứng với 98% vốn điều lệ. Trong năm, Công ty đã thực góp số tiền là 5.000.000.000 VND.","Theo Nghị quyết Hội đồng Quản trị số 05/NQ-PC1-HĐQT ngày 07 tháng 3 năm 2025, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập Công ty Cổ phần Khu Công nghiệp PC1 - Hải Phòng với số tiền là 19.600.000.000 VND, tương ứng với 98% vốn điều lệ. Trong năm, Công ty đã thực góp số tiền là 5.000.000.000 VND.","Theo Nghị quyết Hội đồng Quản trị số 05/NQ-PC1-HĐQT ngày 07 tháng 3 năm 2025, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập Công ty Cổ phần Khu Công nghiệp PC1 - Hải Phòng với số tiền là 19.600.000.000 VND, tương ứng với 98% vốn điều lệ. Trong năm, Công ty đã thực góp số tiền là 5.000.000.000 VND.",,,,,,,
(ii),(ii),(ii),"Theo Nghị quyết Hội đồng Quản trị số 42/NQ-PC1-HĐQT ngày 02 tháng 12 năm 2024, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập PC1 Philippines Inc. với số tiền là 109.980.000 PHP, tương ứng với 99,98% vốn điều lệ. Trong năm, Công ty đã thực góp số tiền quy đổi là 48.932.003.976 VND.","Theo Nghị quyết Hội đồng Quản trị số 42/NQ-PC1-HĐQT ngày 02 tháng 12 năm 2024, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập PC1 Philippines Inc. với số tiền là 109.980.000 PHP, tương ứng với 99,98% vốn điều lệ. Trong năm, Công ty đã thực góp số tiền quy đổi là 48.932.003.976 VND.","Theo Nghị quyết Hội đồng Quản trị số 42/NQ-PC1-HĐQT ngày 02 tháng 12 năm 2024, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập PC1 Philippines Inc. với số tiền là 109.980.000 PHP, tương ứng với 99,98% vốn điều lệ. Trong năm, Công ty đã thực góp số tiền quy đổi là 48.932.003.976 VND.","Theo Nghị quyết Hội đồng Quản trị số 42/NQ-PC1-HĐQT ngày 02 tháng 12 năm 2024, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập PC1 Philippines Inc. với số tiền là 109.980.000 PHP, tương ứng với 99,98% vốn điều lệ. Trong năm, Công ty đã thực góp số tiền quy đổi là 48.932.003.976 VND.","Theo Nghị quyết Hội đồng Quản trị số 42/NQ-PC1-HĐQT ngày 02 tháng 12 năm 2024, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập PC1 Philippines Inc. với số tiền là 109.980.000 PHP, tương ứng với 99,98% vốn điều lệ. Trong năm, Công ty đã thực góp số tiền quy đổi là 48.932.003.976 VND.","Theo Nghị quyết Hội đồng Quản trị số 42/NQ-PC1-HĐQT ngày 02 tháng 12 năm 2024, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập PC1 Philippines Inc. với số tiền là 109.980.000 PHP, tương ứng với 99,98% vốn điều lệ. Trong năm, Công ty đã thực góp số tiền quy đổi là 48.932.003.976 VND.","Theo Nghị quyết Hội đồng Quản trị số 42/NQ-PC1-HĐQT ngày 02 tháng 12 năm 2024, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập PC1 Philippines Inc. với số tiền là 109.980.000 PHP, tương ứng với 99,98% vốn điều lệ. Trong năm, Công ty đã thực góp số tiền quy đổi là 48.932.003.976 VND.",,,,,,,
(iii),(iii),(iii),"Trong năm, Công ty đã chuyển nhượng toàn bộ phần vốn góp tại Công ty TNHH MTV Xây lắp điện 1 - Miền Bắc và cổ phần tại Công ty Cổ phần Thương mại Đầu tư Tiến Bộ. Theo đó, Công ty đã chấm dứt quyền kiểm soát đối với hai công ty này lần lượt tại ngày 18 tháng 4 năm 2025 và ngày 29 tháng 12 năm 2025 (chi tiết tại Thuyết minh số 6).","Trong năm, Công ty đã chuyển nhượng toàn bộ phần vốn góp tại Công ty TNHH MTV Xây lắp điện 1 - Miền Bắc và cổ phần tại Công ty Cổ phần Thương mại Đầu tư Tiến Bộ. Theo đó, Công ty đã chấm dứt quyền kiểm soát đối với hai công ty này lần lượt tại ngày 18 tháng 4 năm 2025 và ngày 29 tháng 12 năm 2025 (chi tiết tại Thuyết minh số 6).","Trong năm, Công ty đã chuyển nhượng toàn bộ phần vốn góp tại Công ty TNHH MTV Xây lắp điện 1 - Miền Bắc và cổ phần tại Công ty Cổ phần Thương mại Đầu tư Tiến Bộ. Theo đó, Công ty đã chấm dứt quyền kiểm soát đối với hai công ty này lần lượt tại ngày 18 tháng 4 năm 2025 và ngày 29 tháng 12 năm 2025 (chi tiết tại Thuyết minh số 6).","Trong năm, Công ty đã chuyển nhượng toàn bộ phần vốn góp tại Công ty TNHH MTV Xây lắp điện 1 - Miền Bắc và cổ phần tại Công ty Cổ phần Thương mại Đầu tư Tiến Bộ. Theo đó, Công ty đã chấm dứt quyền kiểm soát đối với hai công ty này lần lượt tại ngày 18 tháng 4 năm 2025 và ngày 29 tháng 12 năm 2025 (chi tiết tại Thuyết minh số 6).","Trong năm, Công ty đã chuyển nhượng toàn bộ phần vốn góp tại Công ty TNHH MTV Xây lắp điện 1 - Miền Bắc và cổ phần tại Công ty Cổ phần Thương mại Đầu tư Tiến Bộ. Theo đó, Công ty đã chấm dứt quyền kiểm soát đối với hai công ty này lần lượt tại ngày 18 tháng 4 năm 2025 và ngày 29 tháng 12 năm 2025 (chi tiết tại Thuyết minh số 6).","Trong năm, Công ty đã chuyển nhượng toàn bộ phần vốn góp tại Công ty TNHH MTV Xây lắp điện 1 - Miền Bắc và cổ phần tại Công ty Cổ phần Thương mại Đầu tư Tiến Bộ. Theo đó, Công ty đã chấm dứt quyền kiểm soát đối với hai công ty này lần lượt tại ngày 18 tháng 4 năm 2025 và ngày 29 tháng 12 năm 2025 (chi tiết tại Thuyết minh số 6).","Trong năm, Công ty đã chuyển nhượng toàn bộ phần vốn góp tại Công ty TNHH MTV Xây lắp điện 1 - Miền Bắc và cổ phần tại Công ty Cổ phần Thương mại Đầu tư Tiến Bộ. Theo đó, Công ty đã chấm dứt quyền kiểm soát đối với hai công ty này lần lượt tại ngày 18 tháng 4 năm 2025 và ngày 29 tháng 12 năm 2025 (chi tiết tại Thuyết minh số 6).",,,,,,,
(iv),(iv),(iv),"Theo Nghị quyết Hội đồng Quản trị số 30/NQ-PC1-HĐQT ngày 21 tháng 11 năm 2025, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập Công ty Cổ phần PC1 Năng lượng Xanh với số tiền là 6.000.000.000 VND, tương ứng với 60% vốn điều lệ. Tại ngày 29 tháng 01 năm 2026, Công ty đã thực góp số tiền là 6.000.000.000 VND.","Theo Nghị quyết Hội đồng Quản trị số 30/NQ-PC1-HĐQT ngày 21 tháng 11 năm 2025, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập Công ty Cổ phần PC1 Năng lượng Xanh với số tiền là 6.000.000.000 VND, tương ứng với 60% vốn điều lệ. Tại ngày 29 tháng 01 năm 2026, Công ty đã thực góp số tiền là 6.000.000.000 VND.","Theo Nghị quyết Hội đồng Quản trị số 30/NQ-PC1-HĐQT ngày 21 tháng 11 năm 2025, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập Công ty Cổ phần PC1 Năng lượng Xanh với số tiền là 6.000.000.000 VND, tương ứng với 60% vốn điều lệ. Tại ngày 29 tháng 01 năm 2026, Công ty đã thực góp số tiền là 6.000.000.000 VND.","Theo Nghị quyết Hội đồng Quản trị số 30/NQ-PC1-HĐQT ngày 21 tháng 11 năm 2025, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập Công ty Cổ phần PC1 Năng lượng Xanh với số tiền là 6.000.000.000 VND, tương ứng với 60% vốn điều lệ. Tại ngày 29 tháng 01 năm 2026, Công ty đã thực góp số tiền là 6.000.000.000 VND.","Theo Nghị quyết Hội đồng Quản trị số 30/NQ-PC1-HĐQT ngày 21 tháng 11 năm 2025, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập Công ty Cổ phần PC1 Năng lượng Xanh với số tiền là 6.000.000.000 VND, tương ứng với 60% vốn điều lệ. Tại ngày 29 tháng 01 năm 2026, Công ty đã thực góp số tiền là 6.000.000.000 VND.","Theo Nghị quyết Hội đồng Quản trị số 30/NQ-PC1-HĐQT ngày 21 tháng 11 năm 2025, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập Công ty Cổ phần PC1 Năng lượng Xanh với số tiền là 6.000.000.000 VND, tương ứng với 60% vốn điều lệ. Tại ngày 29 tháng 01 năm 2026, Công ty đã thực góp số tiền là 6.000.000.000 VND.","Theo Nghị quyết Hội đồng Quản trị số 30/NQ-PC1-HĐQT ngày 21 tháng 11 năm 2025, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập Công ty Cổ phần PC1 Năng lượng Xanh với số tiền là 6.000.000.000 VND, tương ứng với 60% vốn điều lệ. Tại ngày 29 tháng 01 năm 2026, Công ty đã thực góp số tiền là 6.000.000.000 VND.",,,,,,,
(v),(v),(v),"Theo Biên bản phiên hợp Hội đồng Thành viên lần thứ 64 ngày 24 tháng 6 năm 2025 của Công ty TNHH Chế tạo Cột thép Đông Anh, công ty con cấp 1 của Công ty, Hội đồng Thành viên Công ty TNHH Chế tạo Cột thép Đông Anh thông qua việc góp vốn thành lập Công ty Cổ phần Công nghệ Kết cấu thép Quốc tế với số tiền là 82.500.000.000 VND, tương ứng 55% vốn điều lệ. Trong năm, Công ty TNHH Chế tạo Cột thép Đông Anh đã thực góp số tiền là 82.500.000.000 VND.","Theo Biên bản phiên hợp Hội đồng Thành viên lần thứ 64 ngày 24 tháng 6 năm 2025 của Công ty TNHH Chế tạo Cột thép Đông Anh, công ty con cấp 1 của Công ty, Hội đồng Thành viên Công ty TNHH Chế tạo Cột thép Đông Anh thông qua việc góp vốn thành lập Công ty Cổ phần Công nghệ Kết cấu thép Quốc tế với số tiền là 82.500.000.000 VND, tương ứng 55% vốn điều lệ. Trong năm, Công ty TNHH Chế tạo Cột thép Đông Anh đã thực góp số tiền là 82.500.000.000 VND.","Theo Biên bản phiên hợp Hội đồng Thành viên lần thứ 64 ngày 24 tháng 6 năm 2025 của Công ty TNHH Chế tạo Cột thép Đông Anh, công ty con cấp 1 của Công ty, Hội đồng Thành viên Công ty TNHH Chế tạo Cột thép Đông Anh thông qua việc góp vốn thành lập Công ty Cổ phần Công nghệ Kết cấu thép Quốc tế với số tiền là 82.500.000.000 VND, tương ứng 55% vốn điều lệ. Trong năm, Công ty TNHH Chế tạo Cột thép Đông Anh đã thực góp số tiền là 82.500.000.000 VND.","Theo Biên bản phiên hợp Hội đồng Thành viên lần thứ 64 ngày 24 tháng 6 năm 2025 của Công ty TNHH Chế tạo Cột thép Đông Anh, công ty con cấp 1 của Công ty, Hội đồng Thành viên Công ty TNHH Chế tạo Cột thép Đông Anh thông qua việc góp vốn thành lập Công ty Cổ phần Công nghệ Kết cấu thép Quốc tế với số tiền là 82.500.000.000 VND, tương ứng 55% vốn điều lệ. Trong năm, Công ty TNHH Chế tạo Cột thép Đông Anh đã thực góp số tiền là 82.500.000.000 VND.","Theo Biên bản phiên hợp Hội đồng Thành viên lần thứ 64 ngày 24 tháng 6 năm 2025 của Công ty TNHH Chế tạo Cột thép Đông Anh, công ty con cấp 1 của Công ty, Hội đồng Thành viên Công ty TNHH Chế tạo Cột thép Đông Anh thông qua việc góp vốn thành lập Công ty Cổ phần Công nghệ Kết cấu thép Quốc tế với số tiền là 82.500.000.000 VND, tương ứng 55% vốn điều lệ. Trong năm, Công ty TNHH Chế tạo Cột thép Đông Anh đã thực góp số tiền là 82.500.000.000 VND.","Theo Biên bản phiên hợp Hội đồng Thành viên lần thứ 64 ngày 24 tháng 6 năm 2025 của Công ty TNHH Chế tạo Cột thép Đông Anh, công ty con cấp 1 của Công ty, Hội đồng Thành viên Công ty TNHH Chế tạo Cột thép Đông Anh thông qua việc góp vốn thành lập Công ty Cổ phần Công nghệ Kết cấu thép Quốc tế với số tiền là 82.500.000.000 VND, tương ứng 55% vốn điều lệ. Trong năm, Công ty TNHH Chế tạo Cột thép Đông Anh đã thực góp số tiền là 82.500.000.000 VND.","Theo Biên bản phiên hợp Hội đồng Thành viên lần thứ 64 ngày 24 tháng 6 năm 2025 của Công ty TNHH Chế tạo Cột thép Đông Anh, công ty con cấp 1 của Công ty, Hội đồng Thành viên Công ty TNHH Chế tạo Cột thép Đông Anh thông qua việc góp vốn thành lập Công ty Cổ phần Công nghệ Kết cấu thép Quốc tế với số tiền là 82.500.000.000 VND, tương ứng 55% vốn điều lệ. Trong năm, Công ty TNHH Chế tạo Cột thép Đông Anh đã thực góp số tiền là 82.500.000.000 VND.",,,,,,,
,,,"Theo Nghị quyết Hội đồng Quản trị số 38/NQ-PC1-HĐQT ngày 29 tháng 12 năm 2025, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập Công ty Cổ phần Điện mặt trời Điện Biên với số tiền là 3.000.000.000 đồng, tương ứng với 60% vốn điều lệ. Sau đó, Sở Tài chính Tỉnh Điện Biên đã cấp Giấy chứng nhận đăng ký doanh nghiệp đăng ký lần đầu ngày 10 tháng 01 năm 2026, với vốn điều lệ là 5.000.000.000 VND cho công ty này. Trong tháng 2 năm 2026, Công ty đã thực góp số tiền là 3.000.000.000 VND vào công ty con này.","Theo Nghị quyết Hội đồng Quản trị số 38/NQ-PC1-HĐQT ngày 29 tháng 12 năm 2025, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập Công ty Cổ phần Điện mặt trời Điện Biên với số tiền là 3.000.000.000 đồng, tương ứng với 60% vốn điều lệ. Sau đó, Sở Tài chính Tỉnh Điện Biên đã cấp Giấy chứng nhận đăng ký doanh nghiệp đăng ký lần đầu ngày 10 tháng 01 năm 2026, với vốn điều lệ là 5.000.000.000 VND cho công ty này. Trong tháng 2 năm 2026, Công ty đã thực góp số tiền là 3.000.000.000 VND vào công ty con này.","Theo Nghị quyết Hội đồng Quản trị số 38/NQ-PC1-HĐQT ngày 29 tháng 12 năm 2025, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập Công ty Cổ phần Điện mặt trời Điện Biên với số tiền là 3.000.000.000 đồng, tương ứng với 60% vốn điều lệ. Sau đó, Sở Tài chính Tỉnh Điện Biên đã cấp Giấy chứng nhận đăng ký doanh nghiệp đăng ký lần đầu ngày 10 tháng 01 năm 2026, với vốn điều lệ là 5.000.000.000 VND cho công ty này. Trong tháng 2 năm 2026, Công ty đã thực góp số tiền là 3.000.000.000 VND vào công ty con này.","Theo Nghị quyết Hội đồng Quản trị số 38/NQ-PC1-HĐQT ngày 29 tháng 12 năm 2025, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập Công ty Cổ phần Điện mặt trời Điện Biên với số tiền là 3.000.000.000 đồng, tương ứng với 60% vốn điều lệ. Sau đó, Sở Tài chính Tỉnh Điện Biên đã cấp Giấy chứng nhận đăng ký doanh nghiệp đăng ký lần đầu ngày 10 tháng 01 năm 2026, với vốn điều lệ là 5.000.000.000 VND cho công ty này. Trong tháng 2 năm 2026, Công ty đã thực góp số tiền là 3.000.000.000 VND vào công ty con này.","Theo Nghị quyết Hội đồng Quản trị số 38/NQ-PC1-HĐQT ngày 29 tháng 12 năm 2025, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập Công ty Cổ phần Điện mặt trời Điện Biên với số tiền là 3.000.000.000 đồng, tương ứng với 60% vốn điều lệ. Sau đó, Sở Tài chính Tỉnh Điện Biên đã cấp Giấy chứng nhận đăng ký doanh nghiệp đăng ký lần đầu ngày 10 tháng 01 năm 2026, với vốn điều lệ là 5.000.000.000 VND cho công ty này. Trong tháng 2 năm 2026, Công ty đã thực góp số tiền là 3.000.000.000 VND vào công ty con này.","Theo Nghị quyết Hội đồng Quản trị số 38/NQ-PC1-HĐQT ngày 29 tháng 12 năm 2025, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập Công ty Cổ phần Điện mặt trời Điện Biên với số tiền là 3.000.000.000 đồng, tương ứng với 60% vốn điều lệ. Sau đó, Sở Tài chính Tỉnh Điện Biên đã cấp Giấy chứng nhận đăng ký doanh nghiệp đăng ký lần đầu ngày 10 tháng 01 năm 2026, với vốn điều lệ là 5.000.000.000 VND cho công ty này. Trong tháng 2 năm 2026, Công ty đã thực góp số tiền là 3.000.000.000 VND vào công ty con này.","Theo Nghị quyết Hội đồng Quản trị số 38/NQ-PC1-HĐQT ngày 29 tháng 12 năm 2025, Hội đồng Quản trị Công ty thông qua việc góp vốn thành lập Công ty Cổ phần Điện mặt trời Điện Biên với số tiền là 3.000.000.000 đồng, tương ứng với 60% vốn điều lệ. Sau đó, Sở Tài chính Tỉnh Điện Biên đã cấp Giấy chứng nhận đăng ký doanh nghiệp đăng ký lần đầu ngày 10 tháng 01 năm 2026, với vốn điều lệ là 5.000.000.000 VND cho công ty này. Trong tháng 2 năm 2026, Công ty đã thực góp số tiền là 3.000.000.000 VND vào công ty con này.",,,,,,,
