row_label_raw,row_label_full,col_0,Khu văn phòng tại Chung cư' Nàng Huống,Khu văn phòng tại Chung cư' Mỹ Đình Plaza,Tổng,numeric__Khu văn phòng tại Chung cư' Nàng Huống,numeric__Khu văn phòng tại Chung cư' Mỹ Đình Plaza,numeric__Tổng
,,,VND,VND,VND,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,11.076.525.175,90.477.826.874,101.554.352.049,11076525175.0,90477826874.0,101554352049.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,11.076.525.175,90.477.826.874,101.554.352.049,11076525175.0,90477826874.0,101554352049.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,5.697.922.647,43.034.122.590,48.732.045.237,5697922647.0,43034122590.0,48732045237.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,398.779.182,3.331.304.229,3.730.083.411,398779182.0,3331304229.0,3730083411.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,6.096.701.829,46.365.426.819,52.462.128.648,6096701829.0,46365426819.0,52462128648.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,5.378.602.528,47.443.704.284,52.822.306.812,5378602528.0,47443704284.0,52822306812.0
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,4.979.823.346,44.112.400.055,49.092.223.401,4979823346.0,44112400055.0,49092223401.0
