row_label_raw,row_label_full,STT,Bên liên quan,Mối quan hệ,numeric__Bên liên quan,numeric__Mối quan hệ
1,1,1,Công ty Cổ phần PC1 Hà Nội,Công ty con,,
2,2,2,Công ty Cổ phần PC1 Miền Nam,Công ty con,,
3,3,3,Công ty Cổ phần PC1 Mỹ Đình,Công ty con,,
4,4,4,Công ty TNHH MTV Xây lắp Điện 1 - Hà Đông,Công ty con,,
5,5,5,Công ty TNHH MTV PC1 Nàng Hương,Công ty con,,
6,6,6,Công ty Cổ phần PC1 Thăng Long,Công ty con,,
7,7,7,Công ty Cổ phần PC1 Ninh Bình,Công ty con,,
8,8,8,Công ty TNHH Chế tạo Cột thép Đông Anh,Công ty con,,
9,9,9,Công ty Cổ phần Thủy điện Trung Thu,Công ty con,,
10,10,10,Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,Công ty con,,
11,11,11,Công ty Cổ phần Lắp máy Công nghiệp Việt Nam,Công ty con,,
12,12,12,Công ty Cổ phần Cơ khí Ô tô Hòa Bình,Công ty con,,
13,13,13,Công ty Cổ phần Năng lượng Bảo Lâm,Công ty con,,
14,14,14,Công ty Cổ phần Đầu tư Năng lượng Miền Bắc,Công ty con,,
15,15,15,Công ty Cổ phần Điện gió Liên Lập,Công ty con,,
16,16,16,Công ty Cổ phần Điện gió Phong Huy,Công ty con,,
17,17,17,Công ty Cổ phần Điện gió Phong Nguyên,Công ty con,,
18,18,18,Công ty Cổ phần Đầu tư và Dịch vụ Công nghệ,Công ty con,,
19,19,19,Công ty Cổ phần Khoáng sản Tấn Phát,Công ty con,,
20,20,20,Công ty Cổ phần Thủy điện Sông Gâm,Công ty con,,
21,21,21,Công ty Cổ phần Thiết bị Thương mại,Công ty con,,
22,22,22,Asia Dragon Trading Pte. Ltd.,Công ty con,,
23,23,23,Công ty Phát triển Khu Công nghiệp Nhật Bản - Hải Phòng,Công ty con,,
24,24,24,Công ty Cổ phần KCN Quốc tế Hải Phòng,Công ty con,,
25,25,25,PC1 Australia Pty Ltd,Công ty con,,
26,26,26,Công ty Cổ phần Khu Công nghiệp PC1 - Hải Phòng,Công ty con,,
27,27,27,PC1 Philippines Inc.,Công ty con,,
28,28,28,Công ty Cổ phần Cột thép Mạ kẽm Thái Nguyên,Công ty con cấp 2,,
29,29,29,Công ty TNHH MTV Xây lắp Điện 1 - Từ Liêm,Công ty con cấp 2,,
30,30,30,Công ty Cổ phần Western Pacific,Công ty liên kết,,
31,31,31,Công ty Cổ phần Cơ diện Đại Dũng,Bên liên quan khác,,
32,32,32,"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soát",,,
