row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dưvốn cổ phần,Quỹ đầu tưphát triển,Quỹ khác thuộcvốn chủ sở hữu,Lợi nhuận sau thuếchưa phân phối,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dưvốn cổ phần,numeric__Quỹ đầu tưphát triển,numeric__Quỹ khác thuộcvốn chủ sở hữu,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.109.955.580.000,711.136.556.786,246.973.837.431,64.632.444.542,803.142.319.053,4.935.840.737.812,3109955580000.0,711136556786.0,246973837431.0,64632444542.0,803142319053.0,4935840737812.0
Trả cổ tức thông qua việc phát hành cổphiếu,Trả cổ tức thông qua việc phát hành cổphiếu,Trả cổ tức thông qua việc phát hành cổphiếu,466.465.630.000,-,-,-,(466.465.630.000),-,466465630000.0,,,,-466465630000.0,
Thù lao Hội đồng Quản trị,Thù lao Hội đồng Quản trị,Thù lao Hội đồng Quản trị,-,-,-,-,(6.000.000.000),(6.000.000.000),,,,,-6000000000.0,-6000000000.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(11.270.065.790),(11.270.065.790),,,,,-11270065790.0,-11270065790.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,269.764.321.899,269.764.321.899,,,,,269764321899.0,269764321899.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.576.421.210.000,711.136.556.786,246.973.837.431,64.632.444.542,589.170.945.162,5.188.334.993.921,3576421210000.0,711136556786.0,246973837431.0,64632444542.0,589170945162.0,5188334993921.0
Phát hành cổ phiếu để tăng vốn cổ phần từnguồn vốn chủ sở hữu (Nguồn Thặng dư vốncổ phần) (*),Phát hành cổ phiếu để tăng vốn cổ phần từnguồn vốn chủ sở hữu (Nguồn Thặng dư vốncổ phần) (*),Phát hành cổ phiếu để tăng vốn cổ phần từnguồn vốn chủ sở hữu (Nguồn Thặng dư vốncổ phần) (*),536.432.220.000,(536.432.220.000),-,-,-,-,536432220000.0,-536432220000.0,,,,
Thù lao Hội đồng Quản trị,Thù lao Hội đồng Quản trị,Thù lao Hội đồng Quản trị,-,-,-,-,(11.040.000.000),(11.040.000.000),,,,,-11040000000.0,-11040000000.0
"Trích quỹ khen thưởng, phúc lợi (**)","Trích quỹ khen thưởng, phúc lợi (**)","Trích quỹ khen thưởng, phúc lợi (**)",-,-,-,-,(26.976.432.190),(26.976.432.190),,,,,-26976432190.0,-26976432190.0
Trích quỹ ban điều hành (**),Trích quỹ ban điều hành (**),Trích quỹ ban điều hành (**),-,-,-,-,(15.737.805.491),(15.737.805.491),,,,,-15737805491.0,-15737805491.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,839.653.373.409,839.653.373.409,,,,,839653373409.0,839653373409.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,4.112.853.430.000,174.704.336.786,246.973.837.431,64.632.444.542,1.375.070.080.890,5.974.234.129.649,4112853430000.0,174704336786.0,246973837431.0,64632444542.0,1375070080890.0,5974234129649.0
