row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,6.458.074.296.577,3.654.356.118.909,100.0,,6458074296577.0,3654356118909.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,2.441.899.540.969,702.443.382.839,110.0,5.0,2441899540969.0,702443382839.0
1. Tiền,1. Tiền,1. Tiền,111,,44.599.540.969,46.443.382.839,111.0,,44599540969.0,46443382839.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,2.397.300.000.000,656.000.000.000,112.0,,2397300000000.0,656000000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,6,474.300.722.800,60.006.000.000,120.0,6.0,474300722800.0,60006000000.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,,474.300.722.800,60.006.000.000,123.0,,474300722800.0,60006000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,2.893.813.776.867,2.010.616.885.209,130.0,,2893813776867.0,2010616885209.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,7,2.198.374.659.340,1.246.277.940.072,131.0,7.0,2198374659340.0,1246277940072.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,8,473.683.675.831,488.453.454.061,132.0,8.0,473683675831.0,488453454061.0
3. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,3. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,3. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,9,7.467.863.467,9.187.149.775,134.0,9.0,7467863467.0,9187149775.0
4. Phải thu về cho vay ngắn hạn,4. Phải thu về cho vay ngắn hạn,4. Phải thu về cho vay ngắn hạn,135,10,45.117.437.523,75.625.280.244,135.0,10.0,45117437523.0,75625280244.0
5. Phải thu ngắn hạn khác,5. Phải thu ngắn hạn khác,5. Phải thu ngắn hạn khác,136,11,331.701.992.049,270.917.926.563,136.0,11.0,331701992049.0,270917926563.0
6. Dự phòng phải thu ngắn hạn khó đòi,6. Dự phòng phải thu ngắn hạn khó đòi,6. Dự phòng phải thu ngắn hạn khó đòi,137,12,(162.531.851.343),(79.844.865.506),137.0,12.0,-162531851343.0,-79844865506.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,13,641.978.703.836,845.868.494.107,140.0,13.0,641978703836.0,845868494107.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,678.833.731.638,845.868.494.107,141.0,,678833731638.0,845868494107.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(36.855.027.802),-,149.0,,-36855027802.0,
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,6.081.552.105,35.421.356.754,150.0,,6081552105.0,35421356754.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,14,6.081.552.105,2.667.243.907,151.0,14.0,6081552105.0,2667243907.0
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,-,32.754.112.847,152.0,,,32754112847.0
