row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúc,Máy mócvà thiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,Khác,Tổng,numeric__Nhà xưởngvà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,1.329.781.421.410,1.242.027.262.068,163.321.470.499,20.948.950.381,1.508.687.210,2.757.587.791.568,1329781421410.0,1242027262068.0,163321470499.0,20948950381.0,1508687210.0,2757587791568.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,96.000.000,954.545.455,726.073.794,299.000.000,2.075.619.249,,96000000.0,954545455.0,726073794.0,299000000.0,2075619249.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,94.347.819.254,42.088.168.909,1.151.904.000,1.159.500.000,138.747.392.163,,94347819254.0,42088168909.0,1151904000.0,1159500000.0,138747392163.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.803.114.369),(1.477.951.348),(1.154.759.046),-,-,(10.435.824.763),-7803114369.0,-1477951348.0,-1154759046.0,,,-10435824763.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,1.321.978.307.041,1.334.993.129.974,205.209.425.817,22.826.928.175,2.967.187.210,2.887.974.978.217,1321978307041.0,1334993129974.0,205209425817.0,22826928175.0,2967187210.0,2887974978217.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,327.638.241.826,417.721.227.358,105.660.113.687,12.187.778.464,1.125.287.426,864.332.648.761,327638241826.0,417721227358.0,105660113687.0,12187778464.0,1125287426.0,864332648761.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,47.412.775.520,76.857.652.036,19.028.587.768,2.702.019.264,539.375.775,146.540.410.363,47412775520.0,76857652036.0,19028587768.0,2702019264.0,539375775.0,146540410363.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.514.397.861),(604.826.238),(1.154.759.046),-,-,(9.273.983.145),-7514397861.0,-604826238.0,-1154759046.0,,,-9273983145.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,367.536.619.485,493.974.053.156,123.533.942.409,14.889.797.728,1.664.663.201,1.001.599.075.979,367536619485.0,493974053156.0,123533942409.0,14889797728.0,1664663201.0,1001599075979.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,1.002.143.179.584,824.306.034.710,57.661.356.812,8.761.171.917,383.399.784,1.893.255.142.807,1002143179584.0,824306034710.0,57661356812.0,8761171917.0,383399784.0,1893255142807.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,954.441.687.556,841.019.076.818,81.675.483.408,7.937.130.447,1.302.524.009,1.886.375.902.238,954441687556.0,841019076818.0,81675483408.0,7937130447.0,1302524009.0,1886375902238.0
