row_label_raw,row_label_full,STT,Tên công ty con,Nơi thành lập (hoặc đăng ký) và hoạt động,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,Hoạt động chính,numeric__Tên công ty con,numeric__Nơi thành lập (hoặc đăng ký) và hoạt động,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Hoạt động chính
STT,STT,STT,Tên công ty con,Nơi thành lập (hoặc đăng ký) và hoạt động,Tỷ lệ phần sở hữu,Tỷ lệ quyền biểu quyết nắm giữ,Tỷ lệ phần sở hữu,Tỷ lệ quyền biểu quyết nắm giữ,Hoạt động chính,,,,,,,
16,STT > 16,16,Công ty Cổ phần Điện gió Phong Huy,Quảng Trị,"54,70%","54,70%","54,70%","54,70%",Sản xuất điện tử năng lượng gió,,,0.547,0.547,0.547,0.547,
17,STT > 17,17,Công ty Cổ phần Điện gió Phong Nguyên,Quảng Trị,"54,73%","54,73%","54,73%","54,73%",Sản xuất điện tử năng lượng gió,,,0.5473,0.5473,0.5473,0.5473,
18,STT > 18,18,Công ty Cổ phần Đầu tư và Dịch vụ Công nghệ,Hà Nội,"51,00%","51,00%","51,00%","51,00%",Cung cấp vật tư thiết bị và cấu hình hệ thống điện,,,0.51,0.51,0.51,0.51,
19,STT > 19,19,Công ty Cổ phần Khoáng sản Tấn Phát,Cao Bằng,"57,27%","57,27%","57,27%","57,27%",Khai khoáng,,,0.5727,0.5727,0.5727,0.5727,
20,STT > 20,20,Công ty Cổ phần Thủy điện Sông Gâm,Cao Bằng,"60,00%","60,00%","60,00%","60,00%",Sản xuất và kinh doanh điện năng,,,0.6,0.6,0.6,0.6,
21,STT > 21,21,Công ty Cổ phần Thiết bị Thương mại,Hà Nội,"99,75%","99,75%","99,75%","99,75%",Đầu tư kinh doanh bất động sản,,,0.9975,0.9975,0.9975,0.9975,
22,STT > 22,22,Asia Dragon Trading Pte. Ltd.,Singapore,"100,00%","100,00%","100,00%","100,00%",Bán buôn kim loại và quặng kim loại,,,1.0,1.0,1.0,1.0,
23,STT > 23,23,Công ty Phát triển Khu Công nghiệp Nhật Bản - Hải Phòng,Hải Phòng,"70,00%","70,00%","70,00%","70,00%","Đầu tư, xây dựng và kinh doanh cơ sở hạ tầng, tiện ích, dịch vụ của khu công nghiệp",,,0.7,0.7,0.7,0.7,
24,STT > 24,24,Công ty Cổ phần KCN Quốc tế Hải Phòng,Hải Phòng,"99,96%","99,96%","99,96%","99,96%",Kinh doanh cơ sở hạ tầng của khu công nghiệp,,,0.9995999999999999,0.9995999999999999,0.9995999999999999,0.9995999999999999,
25,STT > 25,25,PC1 Australia Pty Ltd,Australia,"100,00%","100,00%","100,00%","100,00%",Kinh doanh sản phẩm thép,,,1.0,1.0,1.0,1.0,
26,STT > 26,26,Công ty Cổ phần Khu Công nghiệp PC1 - Hải Phòng (i),Hải Phòng,"98,00%","98,00%",-,-,Kinh doanh cơ sở hạ tầng của khu công nghiệp,,,0.98,0.98,,,
27,STT > 27,27,PC1 Philippines Inc. (ii),Philippines,"99,98%","99,98%",-,-,Cung cấp dịch vụ tổng thầu xây dựng nhà máy điện năng lượng tái tạo,,,0.9998,0.9998,,,
28,STT > 28,28,Công ty TNHH MTV Xây lắp điện 1 - Miền Bắc (iii),Hà Nội,-,-,"100,00%","100,00%",Xây lắp điện,,,,,1.0,1.0,
29,STT > 29,29,Công ty Cổ phần Thương mại Đầu tư Tiến Bộ (iii),Hà Nội,-,-,"99,95%","99,95%","Đầu tư, kinh doanh bất động sản",,,,,0.9995,0.9995,
30,STT > 30,30,Công ty Cổ phần PC1 Năng lượng Xanh (iv),Hà Nội,"60,00%","60,00%",-,-,Xây dựng công trình điện,,,0.6,0.6,,,
,,,Công ty con cấp 2Công ty con của Công ty TNHH Chế tạo Cột thép Đông Anh,,,,,,,,,,,,,
1,STT > 1,1,Công ty Cổ phần Cột thép Mạ kẽm Thái Nguyên,Thái Nguyên,"81,00%","90,00%","81,00%","90,00%","Sản xuất các loại cột thép mạ kẽm, kết cấu thép",,,0.81,0.9,0.81,0.9,
2,STT > 2,2,Công ty Cổ phần Công nghệ Kết cấu thép Quốc tế (v),Thái Nguyên,"49,50%","55,00%",-,-,Gia công cơ khí; xử lý và tráng phủ kim loại,,,0.495,0.55,,,
