row_label_raw,row_label_full,6.1. Phân tích chất lượng nợ cho vay,6.1. Phân tích chất lượng nợ cho vay_1,6.1. Phân tích chất lượng nợ cho vay_2,numeric__6.1. Phân tích chất lượng nợ cho vay_1,numeric__6.1. Phân tích chất lượng nợ cho vay_2
,,,31/12/2023,31/12/2022,,
Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,19.076.200,17.831.097,19076200.0,17831097.0
Nợ cần chú ý,Nợ cần chú ý,Nợ cần chú ý,486.665,485.527,486665.0,485527.0
Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,136.030,75.807,136030.0,75807.0
Nợ nghi ngờ,Nợ nghi ngờ,Nợ nghi ngờ,36.058,87.445,36058.0,87445.0
Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,232.424,234.350,232424.0,234350.0
Tổng cộng,Tổng cộng,Tổng cộng,19.967.377,18.714.226,19967377.0,18714226.0
6.2. Phân tích dư nợ theo thời gian,6.2. Phân tích dư nợ theo thời gian,6.2. Phân tích dư nợ theo thời gian,6.2. Phân tích dư nợ theo thời gian,6.2. Phân tích dư nợ theo thời gian,,
,,,31/12/2023,31/12/2022,,
Nợ ngắn hạn,6.2. Phân tích dư nợ theo thời gian > Nợ ngắn hạn,Nợ ngắn hạn,14.344.882,13.253.131,14344882.0,13253131.0
Nợ trung hạn,6.2. Phân tích dư nợ theo thời gian > Nợ trung hạn,Nợ trung hạn,1.596.804,1.675.915,1596804.0,1675915.0
Nợ dài hạn,6.2. Phân tích dư nợ theo thời gian > Nợ dài hạn,Nợ dài hạn,4.025.691,3.785.180,4025691.0,3785180.0
Tổng cộng,6.2. Phân tích dư nợ theo thời gian > Tổng cộng,Tổng cộng,19.967.377,18.714.226,19967377.0,18714226.0
6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp,6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp,6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp,6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp,6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp,,
,,,31/12/2023,31/12/2022,,
Công ty nhà nước,6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp > Công ty nhà nước,Công ty nhà nước,125.862,139.615,125862.0,139615.0
Công ty TNHH I thành viên do nhà nước sở hữu 100% vốn điều lệ,6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp > Công ty TNHH I thành viên do nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH I thành viên do nhà nước sở hữu 100% vốn điều lệ,44.164,53.986,44164.0,53986.0
Công ty trách nhiệm hữu hạn khác,6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp > Công ty trách nhiệm hữu hạn khác,Công ty trách nhiệm hữu hạn khác,3.161.529,2.923.232,3161529.0,2923232.0
Công ty cổ phần,6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp > Công ty cổ phần,Công ty cổ phần,1.670.111,1.657.246,1670111.0,1657246.0
Doanh nghiệp tư nhân,6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp > Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,7.885,8.225,7885.0,8225.0
Doanh nghiệp có vốn đầu tư nước ngoài,6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp > Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,53.389,44.616,53389.0,44616.0
Hợp tác xã và liên hợp tác xã,6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp > Hợp tác xã và liên hợp tác xã,Hợp tác xã và liên hợp tác xã,38.265,48.036,38265.0,48036.0
"Hộ kinh doanh, cá nhân","6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp > Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",14.655.542,13.595.921,14655542.0,13595921.0
