row_label_raw,row_label_full,32. Chi phí thuế thu nhập doanh nghiệp,Năm 2023,Năm 2022,numeric__Năm 2023,numeric__Năm 2022
32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành:,32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành:,32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành:,,,,
1. Lợi nhuận trước thuế TNDN,32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành: > 1. Lợi nhuận trước thuế TNDN,1. Lợi nhuận trước thuế TNDN,331.527,236.231,331527.0,236231.0
2. Các khoản mục điều chỉnh thu nhập chịu thuế:,2. Các khoản mục điều chỉnh thu nhập chịu thuế:,2. Các khoản mục điều chỉnh thu nhập chịu thuế:,,,,
(Trừ) thu nhập được miễn thuế TNDN:,2. Các khoản mục điều chỉnh thu nhập chịu thuế: > (Trừ) thu nhập được miễn thuế TNDN:,(Trừ) thu nhập được miễn thuế TNDN:,(10.041),(6.589),-10041.0,-6589.0
Thu nhập từ góp vốn liên doanh mua cổ phần,2. Các khoản mục điều chỉnh thu nhập chịu thuế: > Thu nhập từ góp vốn liên doanh mua cổ phần,Thu nhập từ góp vốn liên doanh mua cổ phần,(7.173),(3.488),-7173.0,-3488.0
Thu lãi từ công ty con,2. Các khoản mục điều chỉnh thu nhập chịu thuế: > Thu lãi từ công ty con,Thu lãi từ công ty con,(2.868),(3.101),-2868.0,-3101.0
Thu chênh lệch đánh giá lại tài sản quyền sử dụng đất,Thu chênh lệch đánh giá lại tài sản quyền sử dụng đất,Thu chênh lệch đánh giá lại tài sản quyền sử dụng đất,,,,
Thu lãi công trái xây dựng tổ quốc,Thu lãi công trái xây dựng tổ quốc,Thu lãi công trái xây dựng tổ quốc,,,,
Cộng chi phí không được khấu trừ khi xác định lợi nhuận tính thuế:,Thu lãi công trái xây dựng tổ quốc > Cộng chi phí không được khấu trừ khi xác định lợi nhuận tính thuế:,Cộng chi phí không được khấu trừ khi xác định lợi nhuận tính thuế:,2.207,1.567,2207.0,1567.0
3. Thu nhập chịu thuế,Thu lãi công trái xây dựng tổ quốc > 3. Thu nhập chịu thuế,3. Thu nhập chịu thuế,323.693,231.209,323693.0,231209.0
4. Chi phí thuế TNDN tính trên thu nhập chịu thuế năm hiện hành,Thu lãi công trái xây dựng tổ quốc > 4. Chi phí thuế TNDN tính trên thu nhập chịu thuế năm hiện hành,4. Chi phí thuế TNDN tính trên thu nhập chịu thuế năm hiện hành,64.702,46.242,64702.0,46242.0
5. Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước vào chi phí thuế thu nhập hiện hành năm này,Thu lãi công trái xây dựng tổ quốc > 5. Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước vào chi phí thuế thu nhập hiện hành năm này,5. Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước vào chi phí thuế thu nhập hiện hành năm này,36,-,36.0,
6. Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,Thu lãi công trái xây dựng tổ quốc > 6. Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,6. Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,64.738,46.242,64738.0,46242.0
