row_label_raw,row_label_full,a. Lãi cho vay và phí phải thu chưa thu được,31/12/2023,31/12/2022,numeric__31/12/2023,numeric__31/12/2022
Lãi cho vay chưa thu được,Lãi cho vay chưa thu được,Lãi cho vay chưa thu được,495.013,492.071,495013.0,492071.0
Tổng,Tổng,Tổng,495.013,492.071,495013.0,492071.0
b. Nợ khó đòi đã xử lý,b. Nợ khó đòi đã xử lý,b. Nợ khó đòi đã xử lý,31/12/2023,31/12/2022,,
Nợ gốc của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,b. Nợ khó đòi đã xử lý > Nợ gốc của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,Nợ gốc của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,2.064.168,1.412.391,2064168.0,1412391.0
Nợ lãi của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,b. Nợ khó đòi đã xử lý > Nợ lãi của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,Nợ lãi của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,3.845.927,2.861.154,3845927.0,2861154.0
Tổng,b. Nợ khó đòi đã xử lý > Tổng,Tổng,5.910.095,4.273.545,5910095.0,4273545.0
c. Tài sản và chứng từ khác,c. Tài sản và chứng từ khác,c. Tài sản và chứng từ khác,31/12/2023,31/12/2022,,
Tài sản khác giữ hộ,c. Tài sản và chứng từ khác > Tài sản khác giữ hộ,Tài sản khác giữ hộ,345.013,892.502,345013.0,892502.0
Tài sản thuê ngoài,c. Tài sản và chứng từ khác > Tài sản thuê ngoài,Tài sản thuê ngoài,371.908,-,371908.0,
Các chứng từ có giá trị khác đang bảo quản,c. Tài sản và chứng từ khác > Các chứng từ có giá trị khác đang bảo quản,Các chứng từ có giá trị khác đang bảo quản,2.027.573,1.577.002,2027573.0,1577002.0
Tổng,c. Tài sản và chứng từ khác > Tổng,Tổng,2.744.494,2.469.504,2744494.0,2469504.0
