row_label_raw,row_label_full,Chỉ tiêu,Phát sinh trong năm > Số dư đầu năm,Phát sinh trong năm > Số phải nộp,Phát sinh trong năm > Số đã nộp,Phát sinh trong năm > Số dư cuối kỳ,numeric__Phát sinh trong năm > Số dư đầu năm,numeric__Phát sinh trong năm > Số phải nộp,numeric__Phát sinh trong năm > Số đã nộp,numeric__Phát sinh trong năm > Số dư cuối kỳ
1. Thuế GTGT,1. Thuế GTGT,1. Thuế GTGT,562,6.011,5.893,680,562.0,6011.0,5893.0,680.0
a. Thuế GTGT,a. Thuế GTGT,a. Thuế GTGT,562,5.840,5.722,680,562.0,5840.0,5722.0,680.0
b. Thuế GTGT nhà thầu nước ngoài,b. Thuế GTGT nhà thầu nước ngoài,b. Thuế GTGT nhà thầu nước ngoài,-,171,171,-,,171.0,171.0,
2. Thuế TNDN,2. Thuế TNDN,2. Thuế TNDN,14.242,65.417,34.958,44.701,14242.0,65417.0,34958.0,44701.0
a. Thuế TNDN,a. Thuế TNDN,a. Thuế TNDN,14.242,64.738,34.279,44.701,14242.0,64738.0,34279.0,44701.0
b. Thuế TNDN nhà thầu nước ngoài,b. Thuế TNDN nhà thầu nước ngoài,b. Thuế TNDN nhà thầu nước ngoài,-,679,679,-,,679.0,679.0,
"3. Các khoản phí, lệ phí và các khoản phải nộp khác","3. Các khoản phí, lệ phí và các khoản phải nộp khác","3. Các khoản phí, lệ phí và các khoản phải nộp khác",666,9.793,9.804,655,666.0,9793.0,9804.0,655.0
Tổng cộng,Tổng cộng,Tổng cộng,15.470,81.221,50.655,46.036,15470.0,81221.0,50655.0,46036.0
