row_label_raw,row_label_full,Chỉ tiêu,EUR được quy đổi,USD được quy đổi,Các ngoại tệ khácđược quy đổi,Tổng,numeric__EUR được quy đổi,numeric__USD được quy đổi,numeric__Các ngoại tệ khácđược quy đổi,numeric__Tổng
Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",1.301,17.434,654,19.389,1301.0,17434.0,654.0,19389.0
Tiền gối tại ngân hàng Nhà nước,Tài sản > Tiền gối tại ngân hàng Nhà nước,Tiền gối tại ngân hàng Nhà nước,-,52.725,-,52.725,,52725.0,,52725.0
"Tiền, vàng gối tại và cho vay các TCTD khác (*)","Tài sản > Tiền, vàng gối tại và cho vay các TCTD khác (*)","Tiền, vàng gối tại và cho vay các TCTD khác (*)",4.212,2.997.122,2.933,3.004.267,4212.0,2997122.0,2933.0,3004267.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),-,513.207,-,513.207,,513207.0,,513207.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),-,13.414,-,13.414,,13414.0,,13414.0
Tổng Tài sản,Tài sản > Tổng Tài sản,Tổng Tài sản,5.513,3.593.902,3.587,3.603.002,5513.0,3593902.0,3587.0,3603002.0
Nợ phải trả và Vốn chủ sở hữu,Nợ phải trả và Vốn chủ sở hữu,Nợ phải trả và Vốn chủ sở hữu,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả và Vốn chủ sở hữu > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,-,1.206.701,-,1.206.701,,1206701.0,,1206701.0
Tiền gửi của khách hàng,Nợ phải trả và Vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,4.812,342.297,10,347.119,4812.0,342297.0,10.0,347119.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Nợ phải trả và Vốn chủ sở hữu > Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,1.537.250,-,1.537.250,,1537250.0,,1537250.0
Các khoản nợ khác,Nợ phải trả và Vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,701,507.654,3.577,511.932,701.0,507654.0,3577.0,511932.0
Tổng Nợ phải trả và Vốn chủ sở hữu,Nợ phải trả và Vốn chủ sở hữu > Tổng Nợ phải trả và Vốn chủ sở hữu,Tổng Nợ phải trả và Vốn chủ sở hữu,5.513,3.593.902,3.587,3.603.002,5513.0,3593902.0,3587.0,3603002.0
Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,-,-,-,-,,,,
Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,-,-,-,-,,,,
"Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",-,-,-,-,,,,
