row_label_raw,row_label_full,"29. Thu nhập từ góp vốn, mua cổ phần: > Cổ tức nhận được trong năm từ góp vốn, mua cổ phần.",Năm 2023 > 10.059,Năm 2022 > 6.589,numeric__Năm 2023 > 10.059,numeric__Năm 2022 > 6.589
Thu từ lợi nhuận công ty con chuyển về,Thu từ lợi nhuận công ty con chuyển về,Thu từ lợi nhuận công ty con chuyển về,2.868,3.101,2868.0,3101.0
"Thu từ góp vốn, đầu tư dài hạn","Thu từ góp vốn, đầu tư dài hạn","Thu từ góp vốn, đầu tư dài hạn",7.173,3.488,7173.0,3488.0
"Thu nhập góp vốn, mua cổ phần","Thu nhập góp vốn, mua cổ phần","Thu nhập góp vốn, mua cổ phần",18,-,18.0,
Tổng cộng,Tổng cộng,Tổng cộng,10.059,6.589,10059.0,6589.0
