row_label_raw,row_label_full,Công nợ tài chính,31/12/2020,01/01/2020,numeric__31/12/2020,numeric__01/01/2020
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,VND,VND,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,1.944.354.488.504,2.339.756.375.022,1944354488504.0,2339756375022.0
Trừ: Tiền và các khoản tương đương tiền,Công nợ tài chính > Trừ: Tiền và các khoản tương đương tiền,Trừ: Tiền và các khoản tương đương tiền,228.678.131.745,200.976.014.220,228678131745.0,200976014220.0
Nợ thuần,Công nợ tài chính > Nợ thuần,Nợ thuần,1.715.676.356.759,2.138.780.360.802,1715676356759.0,2138780360802.0
Vốn chủ sở hữu,Công nợ tài chính > Vốn chủ sở hữu,Vốn chủ sở hữu,3.456.345.350.739,3.665.754.321.085,3456345350739.0,3665754321085.0
Tỷ lệ nợ trên vốn chủ sở hữu,Công nợ tài chính > Tỷ lệ nợ trên vốn chủ sở hữu,Tỷ lệ nợ trên vốn chủ sở hữu,50%,58%,0.5,0.58
