row_label_raw,row_label_full,Ông Đoàn Văn Bình,Chủ tịch,numeric__Chủ tịch
Bà Phạm Thị Mai Lan,Bà Phạm Thị Mai Lan,Bà Phạm Thị Mai Lan,Phó Chủ tịch,
Ông Lưu Đức Quang,Ông Lưu Đức Quang,Ông Lưu Đức Quang,Thành viên,
Ông Tạ Văn Tố,Ông Tạ Văn Tố,Ông Tạ Văn Tố,Thành viên,
Bà Vũ Thị Lan Anh,Bà Vũ Thị Lan Anh,Bà Vũ Thị Lan Anh,Thành viên,
Ban Tổng giám đốc,Ban Tổng giám đốc,Ban Tổng giám đốc,Ban Tổng giám đốc,
Ông Tạ Văn Tố,Ông Tạ Văn Tố,Ông Tạ Văn Tố,Tổng Giám đốc,
Bà Vũ Thị Lan Anh,Bà Vũ Thị Lan Anh,Bà Vũ Thị Lan Anh,Phó Tổng giám đốc,
Ông Cao Văn Kiên,Ông Cao Văn Kiên,Ông Cao Văn Kiên,Phó Tổng giám đốc,
Ông Trần Đạo Đức,Ông Trần Đạo Đức,Ông Trần Đạo Đức,Phó Tổng giám đốc,
Ông Nguyễn Văn Đông,Ông Nguyễn Văn Đông,Ông Nguyễn Văn Đông,Phó Tổng giám đốc,
Bà Đỗ Phương Anh,Bà Đỗ Phương Anh,Bà Đỗ Phương Anh,Phó Tổng giám đốc,
Bà Phan Lê Mỹ Hạnh,Bà Phan Lê Mỹ Hạnh,Bà Phan Lê Mỹ Hạnh,Phó Tổng giám đốc,
Ông Đoàn Văn Minh,Ông Đoàn Văn Minh,Ông Đoàn Văn Minh,Phó Tổng giám đốc (Bổ nhiệm từ ngày 17/7/2020),
