row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,Phần mềm máy vi tính,"Nhân hiệu, tên thương mại","Bản quyền, bằng sáng chế",Đơn vị tính: VND Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy vi tính,"numeric__Nhân hiệu, tên thương mại","numeric__Bản quyền, bằng sáng chế",numeric__Đơn vị tính: VND Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư ngày 01/01/2020,Nguyên giá > Số dư ngày 01/01/2020,Số dư ngày 01/01/2020,23.918.431.820,14.927.675.074,267.227.596,208.518.000,39.321.852.490,23918431820.0,14927675074.0,267227596.0,208518000.0,39321852490.0
Tăng khác (*),Nguyên giá > Tăng khác (*),Tăng khác (*),11.548.172.059,-,-,-,11.548.172.059,11548172059.0,,,,11548172059.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(55.000.000),-,-,(55.000.000),,-55000000.0,,,-55000000.0
Số dư ngày 31/12/2020,Nguyên giá > Số dư ngày 31/12/2020,Số dư ngày 31/12/2020,35.466.603.879,14.872.675.074,267.227.596,208.518.000,50.815.024.549,35466603879.0,14872675074.0,267227596.0,208518000.0,50815024549.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư ngày 01/01/2020,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2020,Số dư ngày 01/01/2020,1.970.403.195,6.131.022.988,267.227.596,119.227.104,8.487.880.883,1970403195.0,6131022988.0,267227596.0,119227104.0,8487880883.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,504.913.892,2.602.858.840,-,28.241.720,3.136.014.452,504913892.0,2602858840.0,,28241720.0,3136014452.0
Số dư ngày 31/12/2020,Giá trị hao mòn luỹ kế > Số dư ngày 31/12/2020,Số dư ngày 31/12/2020,2.475.317.087,8.713.715.174,267.227.596,147.468.824,11.603.728.681,2475317087.0,8713715174.0,267227596.0,147468824.0,11603728681.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 01/01/2020,Giá trị còn lại > Tại ngày 01/01/2020,Tại ngày 01/01/2020,21.948.028.625,8.796.652.086,-,89.290.896,30.833.971.607,21948028625.0,8796652086.0,,89290896.0,30833971607.0
Tại ngày 31/12/2020,Giá trị còn lại > Tại ngày 31/12/2020,Tại ngày 31/12/2020,32.991.286.792,6.158.959.900,-,61.049.176,39.211.295.868,32991286792.0,6158959900.0,,61049176.0,39211295868.0
