row_label_raw,row_label_full,Chỉ tiêu,Chỉ tiêu_1,Mã số,Thuyết minh,Năm 2020,Đơn vị tính: VND Năm 2019,numeric__Chỉ tiêu_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2020,numeric__Đơn vị tính: VND Năm 2019
1,1,1,Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1.,1.323.834.759.536,4.550.482.235.973,,1.0,,1323834759536.0,4550482235973.0
2,2,2,Các khoản giảm trừ doanh thu,02,VI.2.,-,427.324.660,,2.0,,,427324660.0
3,3,3,Doanh thu thuần bán hàng và cung cấp dịch vụ (10=01-02),10,,1.323.834.759.536,4.550.054.911.313,,10.0,,1323834759536.0,4550054911313.0
4,4,4,Giá vốn hàng bán,11,VI.3.,966.007.451.201,3.110.631.520.602,,11.0,,966007451201.0,3110631520602.0
5,5,5,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,357.827.308.335,1.439.423.390.711,,20.0,,357827308335.0,1439423390711.0
6,6,6,Doanh thu hoạt động tài chính,21,VI.4.,98.000.832.752,71.893.929.061,,21.0,,98000832752.0,71893929061.0
7,7,7,Chi phí tài chính,22,VI.5.,134.144.201.026,159.434.784.094,,22.0,,134144201026.0,159434784094.0
,,,Trong đó: Chi phí lãi vay,23,,133.735.806.546,147.075.524.450,,23.0,,133735806546.0,147075524450.0
8,8,8,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,-,,,24.0,,,
9,9,9,Chi phí bán hàng,25,VI.8.,76.647.830.428,210.210.242.008,,25.0,,76647830428.0,210210242008.0
10,10,10,Chi phí quản lý doanh nghiệp,26,VI.8.,241.153.243.763,294.497.758.058,,26.0,,241153243763.0,294497758058.0
11,11,11,Lợi nhuận thuần từ hoạt động kinh doanh {30=20+(21-22)+24-(25+26)},30,,3.882.865.870,847.174.535.612,,30.0,,3882865870.0,847174535612.0
12,12,12,Thu nhập khác,31,VI.6.,13.120.780.043,11.213.584.962,,31.0,,13120780043.0,11213584962.0
13,13,13,Chi phí khác,32,VI.7.,32.234.154.429,24.029.560.975,,32.0,,32234154429.0,24029560975.0
14,14,14,Lợi nhuận khác (40=31-32),40,,(19.113.374.386),(12.815.976.013),,40.0,,-19113374386.0,-12815976013.0
15,15,15,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,(15.230.508.516),834.358.559.599,,50.0,,-15230508516.0,834358559599.0
16,16,16,Chi phí thuế TNDN hiện hành,51,VI.9.,66.847.388.682,217.528.675.318,,51.0,,66847388682.0,217528675318.0
17,17,17,Chi phí thuế TNDN hoãn lại,52,VI.10.,21.223.315.239,9.023.470.199,,52.0,,21223315239.0,9023470199.0
18,18,18,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,(103.301.212.437),607.806.414.082,,60.0,,-103301212437.0,607806414082.0
19,19,19,Lợi nhuận sau thuế của công ty mẹ,61,,(67.164.548.743),447.910.116.342,,61.0,,-67164548743.0,447910116342.0
20,20,20,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,(36.136.663.694),159.896.297.740,,62.0,,-36136663694.0,159896297740.0
21,21,21,Lãi cơ bản trên cổ phiếu,70,VI.11.,(261),"2.290,18",,70.0,,-261.0,2290.18
