row_label_raw,row_label_full,Chỉ tiêu,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị",Phương tiện vận tải,"Thiết bị, dụng cụ quản lý",Tài sản cố định khác,Đơn vị tính: VND Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,"numeric__Thiết bị, dụng cụ quản lý",numeric__Tài sản cố định khác,numeric__Đơn vị tính: VND Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư ngày 01/01/2020,Nguyên giá > Số dư ngày 01/01/2020,Số dư ngày 01/01/2020,1.395.592.975.027,74.655.491.357,63.259.684.170,9.411.286.079,6.864.270.318,1.549.783.706.951,1395592975027.0,74655491357.0,63259684170.0,9411286079.0,6864270318.0,1549783706951.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,3.286.274.835,325.500.000,1.279.576.364,246.763.636,344.018.545,5.482.133.380,3286274835.0,325500000.0,1279576364.0,246763636.0,344018545.0,5482133380.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,222.024.484,-,-,-,-,222.024.484,222024484.0,,,,,222024484.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(351.254.646),(2.268.388.181),(168.228.001),-,(2.787.870.828),,-351254646.0,-2268388181.0,-168228001.0,,-2787870828.0
Tăng khác (*),Nguyên giá > Tăng khác (*),Tăng khác (*),4.210.564.476,-,-,-,-,4.210.564.476,4210564476.0,,,,,4210564476.0
Số dư ngày 31/12/2020,Nguyên giá > Số dư ngày 31/12/2020,Số dư ngày 31/12/2020,1.403.311.838.822,74.629.736.711,62.270.872.353,9.489.821.714,7.208.288.863,1.556.910.558.463,1403311838822.0,74629736711.0,62270872353.0,9489821714.0,7208288863.0,1556910558463.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư ngày 01/01/2020,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2020,Số dư ngày 01/01/2020,129.943.744.124,28.357.563.179,30.431.257.817,3.944.830.196,3.635.712.069,196.313.107.385,129943744124.0,28357563179.0,30431257817.0,3944830196.0,3635712069.0,196313107385.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,39.503.012.567,10.003.449.925,7.737.824.012,1.604.163.910,1.088.119.320,59.936.569.734,39503012567.0,10003449925.0,7737824012.0,1604163910.0,1088119320.0,59936569734.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(156.105.715),(1.682.340.551),(168.228.001),-,(2.006.674.267),,-156105715.0,-1682340551.0,-168228001.0,,-2006674267.0
Số dư ngày 31/12/2020,Giá trị hao mòn luỹ kế > Số dư ngày 31/12/2020,Số dư ngày 31/12/2020,169.446.756.691,38.204.907.389,36.486.741.278,5.380.766.105,4.723.831.389,254.243.002.852,169446756691.0,38204907389.0,36486741278.0,5380766105.0,4723831389.0,254243002852.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 01/01/2020,Giá trị còn lại > Tại ngày 01/01/2020,Tại ngày 01/01/2020,1.265.649.230.903,46.297.928.178,32.828.426.353,5.466.455.883,3.228.558.249,1.353.470.599.566,1265649230903.0,46297928178.0,32828426353.0,5466455883.0,3228558249.0,1353470599566.0
Tại ngày 31/12/2020,Giá trị còn lại > Tại ngày 31/12/2020,Tại ngày 31/12/2020,1.233.865.082.131,36.424.829.322,25.784.131.075,4.109.055.609,2.484.457.474,1.302.667.555.611,1233865082131.0,36424829322.0,25784131075.0,4109055609.0,2484457474.0,1302667555611.0
