row_label_raw,row_label_full,"CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, thành phố Hà Nội","CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, thành phố Hà Nội_1","CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, thành phố Hà Nội_2","CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, thành phố Hà Nội_3","CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, thành phố Hà Nội_4","CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, thành phố Hà Nội_5",BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2020,BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2020_1,"numeric__CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, thành phố Hà Nội_1","numeric__CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, thành phố Hà Nội_2","numeric__CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, thành phố Hà Nội_3","numeric__CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, thành phố Hà Nội_4","numeric__CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, thành phố Hà Nội_5",numeric__BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2020,numeric__BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2020_1
,,,,,,,,Mẫu số B 09 - DN/HN,Mẫu số B 09 - DN/HN,,,,,,,
BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),,,,,,,
18. Vay và nợ thuê tài chính,18. Vay và nợ thuê tài chính,18. Vay và nợ thuê tài chính,18. Vay và nợ thuê tài chính,18. Vay và nợ thuê tài chính,18. Vay và nợ thuê tài chính,18. Vay và nợ thuê tài chính,18. Vay và nợ thuê tài chính,Đơn vị tính: VND,Đơn vị tính: VND,,,,,,,
,,,,31/12/2020,31/12/2020,Trong năm,Trong năm,01/01/2020,01/01/2020,,,,,,,
,,,,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị,Số có khả năng trả nợ,,,,,,,
a),18. Vay và nợ thuê tài chính > a),a),Vay và nợ thuê tài chính ngắn hạn,532.618.638.267,532.618.638.267,1.365.326.732.888,1.902.402.755.672,1.069.694.661.051,1.069.694.661.051,,532618638267.0,532618638267.0,1365326732888.0,1902402755672.0,1069694661051.0,1069694661051.0
a),18. Vay và nợ thuê tài chính > a),a),Vay ngắn hạn,295.420.990.496,295.420.990.496,1.241.521.391.742,1.651.869.191.567,705.768.790.321,705.768.790.321,,295420990496.0,295420990496.0,1241521391742.0,1651869191567.0,705768790321.0,705768790321.0
a),18. Vay và nợ thuê tài chính > a),a),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Thanh Xuân (1),120.498.146.357,120.498.146.357,1.022.381.824.316,1.607.652.468.280,705.768.790.321,705.768.790.321,,120498146357.0,120498146357.0,1022381824316.0,1607652468280.0,705768790321.0,705768790321.0
a),18. Vay và nợ thuê tài chính > a),a),Vay các đối tượng khác (2),174.922.844.139,174.922.844.139,219.139.567.426,44.216.723.287,-,-,,174922844139.0,174922844139.0,219139567426.0,44216723287.0,,
a),18. Vay và nợ thuê tài chính > a),a),Vay dài hạn đến hạn trả,235.059.064.425,235.059.064.425,121.666.757.800,248.200.564.113,361.592.870.738,361.592.870.738,,235059064425.0,235059064425.0,121666757800.0,248200564113.0,361592870738.0,361592870738.0
a),18. Vay và nợ thuê tài chính > a),a),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Thanh Xuân (3),54.059.064.425,54.059.064.425,5.666.757.800,193.200.564.113,241.592.870.738,241.592.870.738,,54059064425.0,54059064425.0,5666757800.0,193200564113.0,241592870738.0,241592870738.0
a),18. Vay và nợ thuê tài chính > a),a),Ngân hàng TMCP Công thương Việt Nam - CN Thành An (5),181.000.000.000,181.000.000.000,116.000.000.000,55.000.000.000,120.000.000.000,120.000.000.000,,181000000000.0,181000000000.0,116000000000.0,55000000000.0,120000000000.0,120000000000.0
a),18. Vay và nợ thuê tài chính > a),a),Nợ thuê tài chính đến hạn trả,2.138.583.346,2.138.583.346,2.138.583.346,2.332.999.992,2.332.999.992,2.332.999.992,,2138583346.0,2138583346.0,2138583346.0,2332999992.0,2332999992.0,2332999992.0
a),18. Vay và nợ thuê tài chính > a),a),Công ty Cho thuê tài chính TNHH MTV quốc tế Chailease - CN Hà Nội (4),2.138.583.346,2.138.583.346,2.138.583.346,2.332.999.992,2.332.999.992,2.332.999.992,,2138583346.0,2138583346.0,2138583346.0,2332999992.0,2332999992.0,2332999992.0
b),18. Vay và nợ thuê tài chính > b),b),Vay và nợ thuê tài chính dài hạn,1.411.735.850.237,1.411.735.850.237,371.463.797.412,229.789.661.146,1.270.061.713.971,1.270.061.713.971,,1411735850237.0,1411735850237.0,371463797412.0,229789661146.0,1270061713971.0,1270061713971.0
b),18. Vay và nợ thuê tài chính > b),b),Vay dài hạn,1.194.139.466.534,1.194.139.466.534,150.931.213.709,224.714.877.800,1.267.923.130.625,1.267.923.130.625,,1194139466534.0,1194139466534.0,150931213709.0,224714877800.0,1267923130625.0,1267923130625.0
