row_label_raw,row_label_full,Khoản mục,Máy móc thiết bị,Đơn vị tính: VND Tổng cộng,numeric__Máy móc thiết bị,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư ngày 01/01/2020,Nguyên giá > Số dư ngày 01/01/2020,Số dư ngày 01/01/2020,10.604.545.454,10.604.545.454,10604545454.0,10604545454.0
Số dư ngày 31/12/2020,Nguyên giá > Số dư ngày 31/12/2020,Số dư ngày 31/12/2020,10.604.545.454,10.604.545.454,10604545454.0,10604545454.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Số dư ngày 01/01/2020,Giá trị hao mòn lũy kế > Số dư ngày 01/01/2020,Số dư ngày 01/01/2020,4.316.913.059,4.316.913.059,4316913059.0,4316913059.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.133.946.620,2.133.946.620,2133946620.0,2133946620.0
Số dư ngày 31/12/2020,Giá trị hao mòn lũy kế > Số dư ngày 31/12/2020,Số dư ngày 31/12/2020,6.450.859.679,6.450.859.679,6450859679.0,6450859679.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Tại ngày 01/01/2020,Giá trị còn lại > Tại ngày 01/01/2020,Tại ngày 01/01/2020,6.287.632.395,6.287.632.395,6287632395.0,6287632395.0
Tại ngày 31/12/2020,Giá trị còn lại > Tại ngày 31/12/2020,Tại ngày 31/12/2020,4.153.685.775,4.153.685.775,4153685775.0,4153685775.0
