row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,31/12/2020,Đơn vị tính: VND 01/01/2020,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2020,numeric__Đơn vị tính: VND 01/01/2020
A,A,A,TÀI SẢN NGĂN HẠN,100,,2.504.608.922.298,3.511.811.585.661,,100.0,,2504608922298.0,3511811585661.0
I,I,I,Tiền và các khoản tương đương tiền,110,V.1.,228.678.131.745,200.976.014.220,,110.0,,228678131745.0,200976014220.0
1,1,1,Tiền,111,,214.278.131.745,148.976.014.220,,111.0,,214278131745.0,148976014220.0
2,2,2,Các khoản tương đương tiền,112,,14.400.000.000,52.000.000.000,,112.0,,14400000000.0,52000000000.0
II,II,II,Đầu tư tài chính ngắn hạn,120,V.2.,479.697.936.833,1.023.697.936.833,,120.0,,479697936833.0,1023697936833.0
1,1,1,Đầu tư nắm giữ đến ngày đáo hạn,123,,479.697.936.833,1.023.697.936.833,,123.0,,479697936833.0,1023697936833.0
III,III,III,Các khoản phải thu ngắn hạn,130,,893.550.160.861,1.013.248.643.463,,130.0,,893550160861.0,1013248643463.0
1,1,1,Phải thu ngắn hạn của khách hàng,131,V.3.,526.899.903.076,625.226.319.285,,131.0,,526899903076.0,625226319285.0
2,2,2,Trà trước cho người bán ngắn hạn,132,V.4.,147.626.447.294,173.987.494.068,,132.0,,147626447294.0,173987494068.0
3,3,3,Phải thu về cho vay ngắn hạn,135,V.5.,159.750.000.000,179.600.000.000,,135.0,,159750000000.0,179600000000.0
4,4,4,Phải thu ngắn hạn khác,136,V.6.,93.039.754.253,70.034.322.456,,136.0,,93039754253.0,70034322456.0
5,5,5,Dự phòng phải thu ngắn hạn khó đòi,137,,(33.765.943.762),(35.599.492.346),,137.0,,-33765943762.0,-35599492346.0
IV,IV,IV,Hàng tồn kho,140,V.7.,665.079.499.806,1.021.560.301.438,,140.0,,665079499806.0,1021560301438.0
1,1,1,Hàng tồn kho,141,,665.079.499.806,1.021.560.301.438,,141.0,,665079499806.0,1021560301438.0
V,V,V,Tài sản ngắn hạn khác,150,,237.603.193.053,252.328.689.707,,150.0,,237603193053.0,252328689707.0
1,1,1,Chi phí trả trước ngắn hạn,151,V.13.,10.300.833.612,19.239.830.405,,151.0,,10300833612.0,19239830405.0
2,2,2,Thuế GTGT được khấu trừ,152,,221.881.228.431,233.060.394.969,,152.0,,221881228431.0,233060394969.0
3,3,3,Thuế và các khoản khác phải thu Nhà nước,153,V.16.,5.421.131.010,28.464.333,,153.0,,5421131010.0,28464333.0
B,B,B,TÀI SẢN DÀI HẠN,200,,4.933.661.156.087,4.525.549.995.306,,200.0,,4933661156087.0,4525549995306.0
I,I,I,Các khoản phải thu dài hạn,210,,8.446.272.092,7.459.136.001,,210.0,,8446272092.0,7459136001.0
1,1,1,Phải thu dài hạn khác,216,V.6.,9.793.634.227,8.806.498.136,,216.0,,9793634227.0,8806498136.0
2,2,2,Dự phòng phải thu dài hạn khó đòi,219,,(1.347.362.135),(1.347.362.135),,219.0,,-1347362135.0,-1347362135.0
II,II,II,Tài sản cố định,220,,1.346.032.537.254,1.390.592.203.568,,220.0,,1346032537254.0,1390592203568.0
1,1,1,Tài sản cố định hữu hình,221,V.8.,1.302.667.555.611,1.353.470.599.566,,221.0,,1302667555611.0,1353470599566.0
-,-,-,Nguyên giá,222,,1.556.910.558.463,1.549.783.706.951,,222.0,,1556910558463.0,1549783706951.0
-,-,-,Giá trị hao mòn lũy kế,223,,(254.243.002.852),(196.313.107.385),,223.0,,-254243002852.0,-196313107385.0
2,2,2,Tài sản cố định thuê tài chính,224,V.10.,4.153.685.775,6.287.632.395,,224.0,,4153685775.0,6287632395.0
-,-,-,Nguyên giá,225,,10.604.545.454,10.604.545.454,,225.0,,10604545454.0,10604545454.0
-,-,-,Giá trị hao mòn lũy kế,226,,(6.450.859.679),(4.316.913.059),,226.0,,-6450859679.0,-4316913059.0
3,3,3,Tài sản cố định vô hình,227,V.9.,39.211.295.868,30.833.971.607,,227.0,,39211295868.0,30833971607.0
-,-,-,Nguyên giá,228,,50.815.024.549,39.321.852.490,,228.0,,50815024549.0,39321852490.0
-,-,-,Giá trị hao mòn lũy kế,229,,(11.603.728.681),(8.487.880.883),,229.0,,-11603728681.0,-8487880883.0
III,III,III,Bất động sản đầu tư,230,V.11.,813.075.312.679,868.273.853.773,,230.0,,813075312679.0,868273853773.0
-,-,-,Nguyên giá,231,,885.826.794.084,926.457.222.782,,231.0,,885826794084.0,926457222782.0
-,-,-,Giá trị hao mòn lũy kế,232,,(72.751.481.405),(58.183.369.009),,232.0,,-72751481405.0,-58183369009.0
IV,IV,IV,Tài sản dở dang dài hạn,240,V.12.,2.338.095.559.133,1.747.248.052.558,,240.0,,2338095559133.0,1747248052558.0
1,1,1,Chi phí xây dựng cơ bản dở dang,242,,2.338.095.559.133,1.747.248.052.558,,242.0,,2338095559133.0,1747248052558.0
V,V,V,Đầu tư tài chính dài hạn,250,V.2.,1.600.000.000,1.600.000.000,,250.0,,1600000000.0,1600000000.0
1,1,1,Đầu tư góp vốn vào đơn vị khác,253,,1.600.000.000,1.600.000.000,,253.0,,1600000000.0,1600000000.0
VI,VI,VI,Tài sản dài hạn khác,260,,426.411.474.929,510.376.749.406,,260.0,,426411474929.0,510376749406.0
1,1,1,Chi phí trả trước dài hạn,261,V.13.,85.977.471.614,116.761.554.710,,261.0,,85977471614.0,116761554710.0
2,2,2,Tài sản thuế thu nhập hoãn lại,262,,16.155.894.057,15.826.329.877,,262.0,,16155894057.0,15826329877.0
3,3,3,Lợi thế thương mại,269,V.17.,324.278.109.258,377.788.864.819,,269.0,,324278109258.0,377788864819.0
TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),270,,7.438.270.078.385,8.037.361.580.967,,270.0,,7438270078385.0,8037361580967.0
