row_label_raw,row_label_full,"CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, thành phố Hà Nội","CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, thành phố Hà Nội_1","CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, thành phố Hà Nội_2","CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, thành phố Hà Nội_3",BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2020,BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2020_1,"numeric__CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, thành phố Hà Nội_1","numeric__CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, thành phố Hà Nội_2","numeric__CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.OĐịa chỉ: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, Quận Nam Từ Liêm, thành phố Hà Nội_3",numeric__BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2020,numeric__BÁO CÁO TÀI CHÍNH HỢP NHẤTCho năm tài chính kết thúc ngày 31/12/2020_1
,,,,,,Mẫu số B 09 - DN/HN,Mẫu số B 09 - DN/HN,,,,,
BẢN THUYÊT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất,BẢN THUYÊT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất,BẢN THUYÊT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất,BẢN THUYÊT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất,BẢN THUYÊT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất,BẢN THUYÊT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất,BẢN THUYÊT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất,BẢN THUYÊT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất,,,,,
22. Vốn chủ sở hữua) Băng đối chiếu biến động của vốn chủ sở hữuChỉ tiêu,22. Vốn chủ sở hữua) Băng đối chiếu biến động của vốn chủ sở hữuChỉ tiêu,22. Vốn chủ sở hữua) Băng đối chiếu biến động của vốn chủ sở hữuChỉ tiêu,Vốn góp củachủ sở hữu,Lợi nhuận sau thuế chưaphân phối,Lợi ích cổ đông khôngkiểm soát,Đơn vị tính: VND,Đơn vị tính: VND,,,,,
22. Vốn chủ sở hữua) Băng đối chiếu biến động của vốn chủ sở hữuChỉ tiêu,22. Vốn chủ sở hữua) Băng đối chiếu biến động của vốn chủ sở hữuChỉ tiêu,22. Vốn chủ sở hữua) Băng đối chiếu biến động của vốn chủ sở hữuChỉ tiêu,Vốn góp củachủ sở hữu,Lợi nhuận sau thuế chưaphân phối,Lợi ích cổ đông khôngkiểm soát,Cộng,Cộng,,,,,
A,22. Vốn chủ sở hữua) Băng đối chiếu biến động của vốn chủ sở hữuChỉ tiêu > A,A,1,2,3,5 =(1+2+3),5 =(1+2+3),1.0,2.0,3.0,,
Số dư tại ngày 01/01/2019,22. Vốn chủ sở hữua) Băng đối chiếu biến động của vốn chủ sở hữuChỉ tiêu > Số dư tại ngày 01/01/2019,Số dư tại ngày 01/01/2019,1.544.039.910.000,226.924.138.250,580.195.935.208,2.351.159.983.458,2.351.159.983.458,1544039910000.0,226924138250.0,580195935208.0,2351159983458.0,2351159983458.0
- Lãi trong năm nay,22. Vốn chủ sở hữua) Băng đối chiếu biến động của vốn chủ sở hữuChỉ tiêu > - Lãi trong năm nay,- Lãi trong năm nay,1.029.359.940.000,447.910.116.342,251.596.297.740,1.728.866.354.082,1.728.866.354.082,1029359940000.0,447910116342.0,251596297740.0,1728866354082.0,1728866354082.0
- Lợi ích cổ đông không kiểm soát tại ngày mua,22. Vốn chủ sở hữua) Băng đối chiếu biến động của vốn chủ sở hữuChỉ tiêu > - Lợi ích cổ đông không kiểm soát tại ngày mua,- Lợi ích cổ đông không kiểm soát tại ngày mua,-,(186.707.365.006),-,(186.707.365.006),(186.707.365.006),,-186707365006.0,,-186707365006.0,-186707365006.0
- Chia cổ tức,22. Vốn chủ sở hữua) Băng đối chiếu biến động của vốn chủ sở hữuChỉ tiêu > - Chia cổ tức,- Chia cổ tức,-,(154.403.991.000),(43.688.139.920),(198.092.130.920),(198.092.130.920),,-154403991000.0,-43688139920.0,-198092130920.0,-198092130920.0
- Trích quỹ đầu tư phát triển,22. Vốn chủ sở hữua) Băng đối chiếu biến động của vốn chủ sở hữuChỉ tiêu > - Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,-,(32.977.217.583),-,(32.977.217.583),(32.977.217.583),,-32977217583.0,,-32977217583.0,-32977217583.0
