row_label_raw,row_label_full,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_1,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_2,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_3,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_4,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_5,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_6,numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_1,numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_2,numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_3,numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_4,numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_5,numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_6
Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,-,-,-,2.138.583.346,2.138.583.346,2.138.583.346,,,,2138583346.0,2138583346.0,2138583346.0
Công ty cho thuê tài chính TNHH MTV quốc tế Chailease - CN Hà Nội (4),Công ty cho thuê tài chính TNHH MTV quốc tế Chailease - CN Hà Nội (4),Công ty cho thuê tài chính TNHH MTV quốc tế Chailease - CN Hà Nội (4),-,-,-,2.138.583.346,2.138.583.346,2.138.583.346,,,,2138583346.0,2138583346.0,2138583346.0
Trái phiếu phát hành (7),Trái phiếu phát hành (7),Trái phiếu phát hành (7),217.596.383.703,217.596.383.703,220.532.583.703,2.936.200.000,-,-,217596383703.0,217596383703.0,220532583703.0,2936200000.0,,
Cộng,Cộng,Cộng,1.944.354.488.504,1.944.354.488.504,1.736.790.530.300,2.132.192.416.818,2.339.756.375.022,2.339.756.375.022,1944354488504.0,1944354488504.0,1736790530300.0,2132192416818.0,2339756375022.0,2339756375022.0
c) Các khoản nợ thuê tài chính,c) Các khoản nợ thuê tài chính,c) Các khoản nợ thuê tài chính,,,,,,,,,,,,
Thời hạn,Thời hạn,Thời hạn,Năm 2020,Năm 2020,Năm 2020,Năm 2019,Năm 2019,Năm 2019,,,,,,
Thời hạn,Thời hạn,Thời hạn,Tổng khoản thanh toán tiền thuê tài chính,Trả tiền lãi thuê,Trả nợ gốc,Tổng khoản thanh toán tiền thuê tài chính,Trả tiền lãi thuê,Trả nợ gốc,,,,,,
Từ 1 năm trở xuống,Từ 1 năm trở xuống,Từ 1 năm trở xuống,-,-,-,-,-,-,,,,,,
Trên 1 năm đến 5 năm,Từ 1 năm trở xuống > Trên 1 năm đến 5 năm,Trên 1 năm đến 5 năm,2.611.143.819,278.143.827,2.332.999.992,2.821.376.278,488.376.286,2.332.999.992,2611143819.0,278143827.0,2332999992.0,2821376278.0,488376286.0,2332999992.0
Trên 5 năm,Trên 5 năm,Trên 5 năm,-,-,-,-,-,-,,,,,,
d) Thuyết minh thông tin các khoản vay,d) Thuyết minh thông tin các khoản vay,d) Thuyết minh thông tin các khoản vay,d) Thuyết minh thông tin các khoản vay,d) Thuyết minh thông tin các khoản vay,d) Thuyết minh thông tin các khoản vay,d) Thuyết minh thông tin các khoản vay,d) Thuyết minh thông tin các khoản vay,d) Thuyết minh thông tin các khoản vay,,,,,,
