row_label_raw,row_label_full,Báo cáo bộ phận theo hoạt động kinh doanh,Sản phẩm dưỡng,Sản phẩm dưỡng_1,Sản phẩm Sửa đậu nành,Sản phẩm Sửa đậu nành_1,Thành Phát,Thành Phát_1,Khác,Khác_1,Loại trừ,Loại trừ_1,Tổng cộng,Tổng cộng_1,numeric__Sản phẩm dưỡng,numeric__Sản phẩm dưỡng_1,numeric__Sản phẩm Sửa đậu nành,numeric__Sản phẩm Sửa đậu nành_1,numeric__Thành Phát,numeric__Thành Phát_1,numeric__Khác,numeric__Khác_1,numeric__Loại trừ,numeric__Loại trừ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
Báo cáo bộ phận theo hoạt động kinh doanh,Báo cáo bộ phận theo hoạt động kinh doanh,Báo cáo bộ phận theo hoạt động kinh doanh,Năm 2025,Năm 2024,Năm 2025,Năm 2024,Năm 2025,Năm 2024,Năm 2025,Năm 2024,Năm 2025,Năm 2024,Năm 2025,Năm 2024,,,,,,,,,,,,
Doanh thu bộ phận,Báo cáo bộ phận theo hoạt động kinh doanh > Doanh thu bộ phận,Doanh thu bộ phận,3.629.853.463.824,3.939.439.526.736,4.805.162.236.225,4.173.521.197.927,1.817.154.626.285,2.112.359.519.069,1.863.890.214.490,1.841.052.092.101,(1.541.184.640.841),(1.823.106.930.807),10.574.875.899.983,10.243.265.405.026,3629853463824.0,3939439526736.0,4805162236225.0,4173521197927.0,1817154626285.0,2112359519069.0,1863890214490.0,1841052092101.0,-1541184640841.0,-1823106930807.0,10574875899983.0,10243265405026.0
Giá vốn bộ phận,Báo cáo bộ phận theo hoạt động kinh doanh > Giá vốn bộ phận,Giá vốn bộ phận,2.859.083.010.239,2.649.501.089.986,2.585.974.933.904,2.535.983.890.839,1.775.464.443.828,2.068.813.551.834,1.357.665.509.929,1.314.675.193.139,(1.527.044.711.483),(1.809.726.997.550),7.051.143.186.417,6.759.246.728.248,2859083010239.0,2649501089986.0,2585974933904.0,2535983890839.0,1775464443828.0,2068813551834.0,1357665509929.0,1314675193139.0,-1527044711483.0,-1809726997550.0,7051143186417.0,6759246728248.0
Lợi nhuận gộp,Báo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận gộp,Lợi nhuận gộp,770.770.453.585,1.289.938.436.750,2.219.187.302.321,1.637.537.307.088,41.690.182.457,43.545.967.235,506.224.704.561,526.376.898.962,(14.139.929.358),(13.379.933.257),3.523.732.713.566,3.484.018.676.778,770770453585.0,1289938436750.0,2219187302321.0,1637537307088.0,41690182457.0,43545967235.0,506224704561.0,526376898962.0,-14139929358.0,-13379933257.0,3523732713566.0,3484018676778.0
Doanh thu hoạt động tài chính,Báo cáo bộ phận theo hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,,,,306.290.942.906,262.267.815.860,,,,,,,,,,,306290942906.0,262267815860.0
Chi phí tài chính,Báo cáo bộ phận theo hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,,,,,,,111.281.652.304,95.928.285.041,,,,,,,,,,,111281652304.0,95928285041.0
Chi phí bán hàng,Báo cáo bộ phận theo hoạt động kinh doanh > Chi phí bán hàng,Chi phí bán hàng,,,,,,,,,,,1.358.001.470.870,862.662.368.859,,,,,,,,,,,1358001470870.0,862662368859.0
Chi phí quản lý doanh nghiệp,Báo cáo bộ phận theo hoạt động kinh doanh > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,,,,,,,245.398.950.782,240.538.806.846,,,,,,,,,,,245398950782.0,240538806846.0
Lợi nhuận thuần từ hoạt động kinh doanh,Báo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,,,,,,2.115.341.582.516,2.547.157.031.892,,,,,,,,,,,2115341582516.0,2547157031892.0
Thu nhập khác,Báo cáo bộ phận theo hoạt động kinh doanh > Thu nhập khác,Thu nhập khác,,,,,,,,,,,98.536.008.012,99.430.695.134,,,,,,,,,,,98536008012.0,99430695134.0
Chi phí khác,Báo cáo bộ phận theo hoạt động kinh doanh > Chi phí khác,Chi phí khác,,,,,,,,,,,1.474.343.413,1.397.239.452,,,,,,,,,,,1474343413.0,1397239452.0
Lợi nhuận khác,Báo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,,,,,,,97.061.664.599,98.033.455.682,,,,,,,,,,,97061664599.0,98033455682.0
Lợi nhuận trước thuế,Báo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,,,,,2.212.403.247.115,2.645.190.487.574,,,,,,,,,,,2212403247115.0,2645190487574.0
Thuế TNDN,Báo cáo bộ phận theo hoạt động kinh doanh > Thuế TNDN,Thuế TNDN,,,,,,,,,,,295.920.482.664,268.496.235.042,,,,,,,,,,,295920482664.0,268496235042.0
Lợi nhuận sau thuế TNDN,Báo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,,,,,1.916.482.764.451,2.376.694.252.532,,,,,,,,,,,1916482764451.0,2376694252532.0
