row_label_raw,row_label_full,col_0,31/12/2025Cổ phiếu,01/01/2025Cổ phiếu,numeric__31/12/2025Cổ phiếu,numeric__01/01/2025Cổ phiếu
Số lượng cổ phiếu đăng ký phát hành,Số lượng cổ phiếu đăng ký phát hành,Số lượng cổ phiếu đăng ký phát hành,367.648.153,367.648.153,367648153.0,367648153.0
Số lượng cổ phiếu đã bán ra công chúng,Số lượng cổ phiếu đã bán ra công chúng,Số lượng cổ phiếu đã bán ra công chúng,367.648.153,367.648.153,367648153.0,367648153.0
- Cổ phiếu phố thông,- Cổ phiếu phố thông,- Cổ phiếu phố thông,367.648.153,367.648.153,367648153.0,367648153.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
Số lượng cổ phiếu được mua lại (cổ phiếu quỹ),- Cổ phiếu ưu đãi > Số lượng cổ phiếu được mua lại (cổ phiếu quỹ),Số lượng cổ phiếu được mua lại (cổ phiếu quỹ),55.534.605,55.534.605,55534605.0,55534605.0
- Cổ phiếu phố thông,- Cổ phiếu ưu đãi > - Cổ phiếu phố thông,- Cổ phiếu phố thông,55.534.605,55.534.605,55534605.0,55534605.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
Số lượng cổ phiếu đang lưu hành,- Cổ phiếu ưu đãi > Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,312.113.548,312.113.548,312113548.0,312113548.0
- Cổ phiếu phố thông,- Cổ phiếu ưu đãi > - Cổ phiếu phố thông,- Cổ phiếu phố thông,312.113.548,312.113.548,312113548.0,312113548.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
Mệnh giá cổ phiếu đang lưu hành: 10.000VND,Mệnh giá cổ phiếu đang lưu hành: 10.000VND,Mệnh giá cổ phiếu đang lưu hành: 10.000VND,Mệnh giá cổ phiếu đang lưu hành: 10.000VND,Mệnh giá cổ phiếu đang lưu hành: 10.000VND,,
