row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm 2025 VND,Năm 2024 VND,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2025 VND,numeric__Năm 2024 VND
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,25,10.674.656.998.807,10.315.835.017.750,,1.0,25.0,10674656998807.0,10315835017750.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,26,99.781.098.824,72.569.612.724,,2.0,26.0,99781098824.0,72569612724.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,10.574.875.899.983,10.243.265.405.026,,10.0,,10574875899983.0,10243265405026.0
4.,4.,4.,Giá vốn hàng bán,11,27,7.050.345.524.583,6.759.246.728.248,,11.0,27.0,7050345524583.0,6759246728248.0
5.,5.,5.,Lợi nhuận gộp bán hàng và cung cấp dịch vụ,20,,3.524.530.375.400,3.484.018.676.778,,20.0,,3524530375400.0,3484018676778.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,28,306.290.942.906,262.267.815.860,,21.0,28.0,306290942906.0,262267815860.0
7.,7.,7.,Chi phí tài chính,22,29,111.281.652.304,95.928.285.041,,22.0,29.0,111281652304.0,95928285041.0
,,,Trong đó: Chi phí lãi vay,23,,106.881.285.155,93.610.782.278,,23.0,,106881285155.0,93610782278.0
8.,8.,8.,Chi phí bán hàng,25,30.a,1.358.799.132.704,862.662.368.859,,25.0,,1358799132704.0,862662368859.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,30.b,245.398.950.782,240.538.806.846,,26.0,,245398950782.0,240538806846.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,2.115.341.582.516,2.547.157.031.892,,30.0,,2115341582516.0,2547157031892.0
11.,11.,11.,Thu nhập khác,31,31,98.536.008.012,99.430.695.134,,31.0,31.0,98536008012.0,99430695134.0
12.,12.,12.,Chi phí khác,32,32,1.474.343.413,1.397.239.452,,32.0,32.0,1474343413.0,1397239452.0
13.,13.,13.,Lợi nhuận khác,40,,97.061.664.599,98.033.455.682,,40.0,,97061664599.0,98033455682.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế,50,,2.212.403.247.115,2.645.190.487.574,,50.0,,2212403247115.0,2645190487574.0
16.,16.,16.,Chi phí thuế TNDN hiện hành,51,33,295.888.153.148,268.520.138.404,,51.0,33.0,295888153148.0,268520138404.0
17.,17.,17.,Chi phí thuế TNDN hoãn lại,52,,32.329.516,(23.903.362),,52.0,,32329516.0,-23903362.0
18.,18.,18.,Lợi nhuận sau thuế TNDN,60,,1.916.482.764.451,2.376.694.252.532,,60.0,,1916482764451.0,2376694252532.0
19.,19.,19.,Lợi nhuận sau thuế của công ty mẹ,61,,1.916.482.764.451,2.376.694.252.532,,61.0,,1916482764451.0,2376694252532.0
20.,20.,20.,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,,,,62.0,,,
21.,21.,21.,Lãi cơ bản trên cổ phiếu,70,34,6.079,7.680,,70.0,34.0,6079.0,7680.0
22.,22.,22.,Lãi suy giảm trên cổ phiếu,71,34,6.079,7.680,,71.0,34.0,6079.0,7680.0
