row_label_raw,row_label_full,31/12/2025,Tài sản của bộ phận > Nguyên giá TSCD HH,Tài sản của bộ phận > Hao mòn lũy kế,Tài sản của bộ phận > Nợ phải thu,Tài sản của bộ phận > Tổng tài sản,Tài sản của bộ phận > Nợ phải trả,Khấu hao TSCĐ Năm 2025,numeric__Tài sản của bộ phận > Nguyên giá TSCD HH,numeric__Tài sản của bộ phận > Hao mòn lũy kế,numeric__Tài sản của bộ phận > Nợ phải thu,numeric__Tài sản của bộ phận > Tổng tài sản,numeric__Tài sản của bộ phận > Nợ phải trả,numeric__Khấu hao TSCĐ Năm 2025
Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,3.773.072.955.272,(2.296.375.300.440),523.937.971.725,2.422.579.327.198,169.421.681.070,227.214.416.795,3773072955272.0,-2296375300440.0,523937971725.0,2422579327198.0,169421681070.0,227214416795.0
Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,2.332.283.925.461,(1.981.191.417.808),115.873.578.380,1.054.722.330.272,255.231.127.563,86.067.647.649,2332283925461.0,-1981191417808.0,115873578380.0,1054722330272.0,255231127563.0,86067647649.0
Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,2.733.593.085,(2.677.633.208),207.928.136.449,1.043.452.670.121,19.550.127.248,44.799.818,2733593085.0,-2677633208.0,207928136449.0,1043452670121.0,19550127248.0,44799818.0
Họat động SXKD khác,Họat động SXKD khác,Họat động SXKD khác,3.401.631.890.172,(2.113.176.062.236),436.539.175.096,11.671.717.701.211,3.467.963.610.361,141.434.608.125,3401631890172.0,-2113176062236.0,436539175096.0,11671717701211.0,3467963610361.0,141434608125.0
,,,9.509.722.363.990,(6.393.420.413.692),1.284.278.861.650,16.192.472.028.802,3.912.166.546.242,454.761.472.387,9509722363990.0,-6393420413692.0,1284278861650.0,16192472028802.0,3912166546242.0,454761472387.0
Các khoản loại trừ,Các khoản loại trừ,Các khoản loại trừ,-,-,(207.826.654.541),(1.842.353.427.916),(207.826.654.541),-,,,-207826654541.0,-1842353427916.0,-207826654541.0,
Tổng cộng,Tổng cộng,Tổng cộng,9.509.722.363.990,(6.393.420.413.692),1.076.452.207.109,14.350.118.600.886,3.704.339.891.701,454.761.472.387,9509722363990.0,-6393420413692.0,1076452207109.0,14350118600886.0,3704339891701.0,454761472387.0
,,,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,,,,,,,
01/01/2025,01/01/2025,01/01/2025,Nguyên giá TSCĐ HH,Hao mòn lũy kế,Nợ phải thu,Tổng tài sản,Nợ phải trả,Khấu hao TSCĐ Năm 2024,,,,,,
Hoạt động SXKD sản phẩm Đường,01/01/2025 > Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,3.749.666.262.043,(2.069.378.933.645),509.235.437.513,2.770.647.594.645,131.114.453.822,223.699.855.355,3749666262043.0,-2069378933645.0,509235437513.0,2770647594645.0,131114453822.0,223699855355.0
Hoạt động SXKD sản phẩm Sữa đậu nành,01/01/2025 > Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,2.283.812.166.440,(1.899.520.184.124),96.784.258.137,1.043.694.827.231,194.639.908.731,80.964.540.180,2283812166440.0,-1899520184124.0,96784258137.0,1043694827231.0,194639908731.0,80964540180.0
Công ty TNHH MTV Thương mại Thành Phát,01/01/2025 > Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,2.733.593.085,(2.632.833.390),203.537.144.510,1.039.692.495.175,17.395.468.512,44.799.818,2733593085.0,-2632833390.0,203537144510.0,1039692495175.0,17395468512.0,44799818.0
Họat động SXKD khác,01/01/2025 > Họat động SXKD khác,Họat động SXKD khác,3.344.546.804.978,(1.974.802.685.470),204.608.643.369,10.792.588.195.812,3.667.300.111.099,133.583.867.592,3344546804978.0,-1974802685470.0,204608643369.0,10792588195812.0,3667300111099.0,133583867592.0
,,,9.380.758.826.546,(5.946.334.636.629),1.014.165.483.529,15.646.623.112.863,4.010.449.942.164,438.293.062.945,9380758826546.0,-5946334636629.0,1014165483529.0,15646623112863.0,4010449942164.0,438293062945.0
Các khoản loại trừ,01/01/2025 > Các khoản loại trừ,Các khoản loại trừ,-,-,(203.478.959.788),(1.838.135.051.228),(203.478.959.788),-,,,-203478959788.0,-1838135051228.0,-203478959788.0,
Tổng cộng,01/01/2025 > Tổng cộng,Tổng cộng,9.380.758.826.546,(5.946.334.636.629),810.686.523.741,13.808.488.061.635,3.806.970.982.376,438.293.062.945,9380758826546.0,-5946334636629.0,810686523741.0,13808488061635.0,3806970982376.0,438293062945.0
