row_label_raw,row_label_full,31/12/2025,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Phải trả người bán,Phải trả người bán,Phải trả người bán,435.722.129.346,-,435.722.129.346,435722129346.0,,435722129346.0
Chỉ phí phải trả,Chỉ phí phải trả,Chỉ phí phải trả,6.170.933.661,-,6.170.933.661,6170933661.0,,6170933661.0
Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,2.536.306.295.304,-,2.536.306.295.304,2536306295304.0,,2536306295304.0
Phải trả khác,Phải trả khác,Phải trả khác,83.870.345.802,9.553.996.289,93.424.342.091,83870345802.0,9553996289.0,93424342091.0
Cộng,Cộng,Cộng,3.062.069.704.113,9.553.996.289,3.071.623.700.402,3062069704113.0,9553996289.0,3071623700402.0
01/01/2025,01/01/2025,01/01/2025,Không quá 1 năm,Trên 1 năm,Tổng,,,
Phải trả người bán,01/01/2025 > Phải trả người bán,Phải trả người bán,464.095.068.931,-,464.095.068.931,464095068931.0,,464095068931.0
Chỉ phí phải trả,01/01/2025 > Chỉ phí phải trả,Chỉ phí phải trả,4.821.918.376,-,4.821.918.376,4821918376.0,,4821918376.0
Vay và nợ thuê tài chính,01/01/2025 > Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,2.713.580.820.203,-,2.713.580.820.203,2713580820203.0,,2713580820203.0
Phải trả khác,01/01/2025 > Phải trả khác,Phải trả khác,49.713.233.167,8.301.854.364,58.015.087.531,49713233167.0,8301854364.0,58015087531.0
Cộng,01/01/2025 > Cộng,Cộng,3.232.211.040.677,8.301.854.364,3.240.512.895.041,3232211040677.0,8301854364.0,3240512895041.0
