row_label_raw,row_label_full,col_0,Số đầu năm,Số đầu năm_1,Số phát sinh trong năm,Số phát sinh trong năm_1,Số cuối năm,Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số phát sinh trong năm,numeric__Số phát sinh trong năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1
,,,Phải thu,Phải nộp,Phải nộp,Thực nộp,Phải thu,Phải nộp,,,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,20.214.964.863,447.312.371.575,436.648.723.515,-,30.878.612.923,,20214964863.0,447312371575.0,436648723515.0,,30878612923.0
Thuế giá trị gia tăng NK,Thuế giá trị gia tăng NK,Thuế giá trị gia tăng NK,-,-,8.276.796.061,8.276.796.061,-,-,,,8276796061.0,8276796061.0,,
Thuế tiêu thu đặc biệt,Thuế tiêu thu đặc biệt,Thuế tiêu thu đặc biệt,-,14.127.097.947,249.643.607.093,241.490.642.926,-,22.280.062.114,,14127097947.0,249643607093.0,241490642926.0,,22280062114.0
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,-,426.055.102,426.055.102,-,-,,,426055102.0,426055102.0,,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,124.022.138.404,295.888.153.148,272.792.276.152,-,147.118.015.400,,124022138404.0,295888153148.0,272792276152.0,,147118015400.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,63.786.002,58.333.198.998,58.342.598.792,-,54.386.208,,63786002.0,58333198998.0,58342598792.0,,54386208.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,173.484.750,2.319.675.009,2.299.968.569,-,193.191.190,,173484750.0,2319675009.0,2299968569.0,,193191190.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",38.219.082,-,2.719.648.825,2.681.429.743,-,-,38219082.0,,2719648825.0,2681429743.0,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,52.238.679,1.807.520.955,1.829.686.329,1.931.070,32.004.375,,52238679.0,1807520955.0,1829686329.0,1931070.0,32004375.0
Phí và lệ phí,Phí và lệ phí,Phí và lệ phí,-,10.853.250,180.960.750,180.207.250,-,11.606.750,,10853250.0,180960750.0,180207250.0,,11606750.0
Cộng,Cộng,Cộng,38.219.082,158.664.563.895,1.066.907.987.516,1.024.968.384.439,1.931.070,200.567.878.960,38219082.0,158664563895.0,1066907987516.0,1024968384439.0,1931070.0,200567878960.0
