row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,14.638.792.800.000,522.021.325.200,(5.025.640.000),3.757.390.423.053,18.913.178.908.253,14638792800000.0,522021325200.0,-5025640000.0,3757390423053.0,18913178908253.0
Lỗ thuần trong năm,Năm trước > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,(114.570.575.908),(114.570.575.908),,,,-114570575908.0,-114570575908.0
Hủy cổ phiếu quỹ,Năm trước > Hủy cổ phiếu quỹ,Hủy cổ phiếu quỹ,(5.025.640.000),-,5.025.640.000,-,-,-5025640000.0,,5025640000.0,,
Mua lại cổ phiếu quỹ,Năm trước > Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(9.783.280.000),-,(9.783.280.000),,,-9783280000.0,,-9783280000.0
Chia cổ tức tiền,Năm trước > Chia cổ tức tiền,Chia cổ tức tiền,-,-,-,(731.280.023.500),(731.280.023.500),,,,-731280023500.0,-731280023500.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,14.633.767.160.000,522.021.325.200,(9.783.280.000),2.911.539.823.645,18.057.545.028.845,14633767160000.0,522021325200.0,-9783280000.0,2911539823645.0,18057545028845.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,14.633.767.160.000,522.021.325.200,(9.783.280.000),2.911.539.823.645,18.057.545.028.845,14633767160000.0,522021325200.0,-9783280000.0,2911539823645.0,18057545028845.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,2.628.301.752.407,2.628.301.752.407,,,,2628301752407.0,2628301752407.0
Hủy cổ phiếu quỹ (i),Năm nay > Hủy cổ phiếu quỹ (i),Hủy cổ phiếu quỹ (i),(11.325.390.000),-,11.325.390.000,-,-,-11325390000.0,,11325390000.0,,
Mua lại cổ phiếu quỹ,Năm nay > Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(9.141.790.000),-,(9.141.790.000),,,-9141790000.0,,-9141790000.0
Chia cổ tức tiền (ii),Năm nay > Chia cổ tức tiền (ii),Chia cổ tức tiền (ii),-,-,,(730.957.693.995),(730.957.693.995),,,,-730957693995.0,-730957693995.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,14.622.441.770.000,522.021.325.200,(7.599.680.000),4.808.883.882.057,19.945.747.297.257,14622441770000.0,522021325200.0,-7599680000.0,4808883882057.0,19945747297257.0
