row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Công ty Cổ phần Thế Giới Di Động,Công ty Cổ phần Thế Giới Di Động,Công ty Cổ phần Thế Giới Di Động,Công ty con,
Công ty Cổ phần Công nghệ và Đầu tư Bách Hóa Xanh,Công ty Cổ phần Công nghệ và Đầu tư Bách Hóa Xanh,Công ty Cổ phần Công nghệ và Đầu tư Bách Hóa Xanh,Công ty con,
Công ty Cổ phần Thế giới Số Trần Anh,Công ty Cổ phần Thế giới Số Trần Anh,Công ty Cổ phần Thế giới Số Trần Anh,Công ty con,
Công ty TNHH MTV Công nghệ Thông tin Thế Giới Di Động,Công ty TNHH MTV Công nghệ Thông tin Thế Giới Di Động,Công ty TNHH MTV Công nghệ Thông tin Thế Giới Di Động,Công ty con,
Công ty Cổ phần 4K Farm,Công ty Cổ phần 4K Farm,Công ty Cổ phần 4K Farm,Công ty con,
Công ty Cổ phần Logistics Toàn Tín,Công ty Cổ phần Logistics Toàn Tín,Công ty Cổ phần Logistics Toàn Tín,Công ty con,
Công ty Cổ phần Dịch vụ Lắp đặt - Sửa chữa - Bảo hành Tận Tâm,Công ty Cổ phần Dịch vụ Lắp đặt - Sửa chữa - Bảo hành Tận Tâm,Công ty Cổ phần Dịch vụ Lắp đặt - Sửa chữa - Bảo hành Tận Tâm,Công ty con,
Công ty Cổ phần Thương mại Bách Hóa Xanh,Công ty Cổ phần Thương mại Bách Hóa Xanh,Công ty Cổ phần Thương mại Bách Hóa Xanh,Công ty con gián tiếp,
Công ty Cổ phần Bán lẻ An Khang,Công ty Cổ phần Bán lẻ An Khang,Công ty Cổ phần Bán lẻ An Khang,Công ty con gián tiếp,
MWG (Cambodia) Co.. Ltd,MWG (Cambodia) Co.. Ltd,MWG (Cambodia) Co.. Ltd,Công ty con gián tiếp,
PT Era Blu Elektronik,PT Era Blu Elektronik,PT Era Blu Elektronik,Công ty liên doanh,
Ông Nguyễn Đức Tài,Ông Nguyễn Đức Tài,Ông Nguyễn Đức Tài,Chủ tịch HĐQT,
Ông Trần Huy Thanh Tùng,Ông Trần Huy Thanh Tùng,Ông Trần Huy Thanh Tùng,Thành viên HĐQT và Tổng Giám đốc,
Ông Đăng Minh Lương,Ông Đăng Minh Lương,Ông Đăng Minh Lương,Thành viên HĐQT,
Ông Đoàn Văn Hiểu Em,Ông Đoàn Văn Hiểu Em,Ông Đoàn Văn Hiểu Em,Thành viên HĐQT,
Ông Thomas Lanyi,Ông Thomas Lanyi,Ông Thomas Lanyi,Thành viên HĐQT,
Ông Robert Willett,Ông Robert Willett,Ông Robert Willett,Thành viên HĐQT,
Ông Đào Thế Vinh,Ông Đào Thế Vinh,Ông Đào Thế Vinh,Thành viên HĐQT và,
,,,Thành viên Ủy ban Kiểm toán,
Ông Nguyễn Tiến Trung,Ông Nguyễn Tiến Trung,Ông Nguyễn Tiến Trung,Thành viên HĐQT và,
,,,Chủ tịch Ủy ban Kiểm toán,
Ông Đỗ Tiến Sĩ,Ông Đỗ Tiến Sĩ,Ông Đỗ Tiến Sĩ,Thành viên HĐQT,
Ông Vũ Đăng Linh,Ông Vũ Đăng Linh,Ông Vũ Đăng Linh,Giám đốc Tài chính,
