row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn",Thiết bị dụng cụquản lý,TSCĐ hữu hìnhkhác,Tổng cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn",numeric__Thiết bị dụng cụquản lý,numeric__TSCĐ hữu hìnhkhác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Tại ngày đầu năm,NGUYÊN GIÁ > Tại ngày đầu năm,Tại ngày đầu năm,202.074.930.342,400.258.014.027,42.269.646.485,2.609.021.608,195.935.101,647.407.547.563,202074930342.0,400258014027.0,42269646485.0,2609021608.0,195935101.0,647407547563.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,5.598.710.364,23.991.573.636,1.451.097.273,1.549.619.306,-,32.591.000.579,5598710364.0,23991573636.0,1451097273.0,1549619306.0,,32591000579.0
- Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,10.159.499.954,439.952.684,-,-,-,10.599.452.638,10159499954.0,439952684.0,,,,10599452638.0
- Tăng khác,NGUYÊN GIÁ > - Tăng khác,- Tăng khác,-,-,-,160.024.000,-,160.024.000,,,,160024000.0,,160024000.0
- Giảm do thoái vốn khởi TSP,NGUYÊN GIÁ > - Giảm do thoái vốn khởi TSP,- Giảm do thoái vốn khởi TSP,(56.485.251.387),(23.571.700.288),(5.461.245.091),(133.454.545),-,(85.651.651.311),-56485251387.0,-23571700288.0,-5461245091.0,-133454545.0,,-85651651311.0
"- Thanh lý, nhượng bán","NGUYÊN GIÁ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(745.700.000),(1.205.172.100),(38.788.182),-,(1.989.660.282),,-745700000.0,-1205172100.0,-38788182.0,,-1989660282.0
- Giảm khác,NGUYÊN GIÁ > - Giảm khác,- Giảm khác,-,(160.024.000),-,-,-,(160.024.000),,-160024000.0,,,,-160024000.0
Tại ngày cuối năm,NGUYÊN GIÁ > Tại ngày cuối năm,Tại ngày cuối năm,161.347.889.273,400.212.116.059,37.054.326.567,4.146.422.187,195.935.101,602.956.689.187,161347889273.0,400212116059.0,37054326567.0,4146422187.0,195935101.0,602956689187.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Tại ngày đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày đầu năm,Tại ngày đầu năm,71.075.267.727,271.232.016.055,13.671.599.171,1.714.037.688,143.815.136,357.836.735.777,71075267727.0,271232016055.0,13671599171.0,1714037688.0,143815136.0,357836735777.0
