row_label_raw,row_label_full,col_0,Giá trị ghi số > Năm nay,Giá trị ghi số > Năm trước,numeric__Giá trị ghi số > Năm nay,numeric__Giá trị ghi số > Năm trước
,,,VND,VND,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,47.232.054.588,739.123.566.937,47232054588.0,739123566937.0
"Phải thu khách hàng, phải thu về cho vay và phải thu khác","Tài sản tài chính > Phải thu khách hàng, phải thu về cho vay và phải thu khác","Phải thu khách hàng, phải thu về cho vay và phải thu khác",631.246.885.908,426.512.248.345,631246885908.0,426512248345.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,1.227.245.102.236,1.699.525.042.616,1227245102236.0,1699525042616.0
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,1.420.971.815.673,450.846.960.000,1420971815673.0,450846960000.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,3.326.695.858.405,3.316.007.817.898,3326695858405.0,3316007817898.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,315.503.757.948,621.561.440.851,315503757948.0,621561440851.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,133.651.930.045,315.098.322.602,133651930045.0,315098322602.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,24.440.509.581,22.518.798.494,24440509581.0,22518798494.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,473.596.197.574,959.178.561.947,473596197574.0,959178561947.0
