row_label_raw,row_label_full,Chỉ tiêu > Điều chỉnh chỉ tiêu trên Báo cáo kết quả kinh doanh,Mã số > Điều chỉnh chỉ tiêu trên Báo cáo kết quả kinh doanh,Năm trước > Đã kiểm toán VND > Điều chỉnh chỉ tiêu trên Báo cáo kết quả kinh doanh,Năm trước > Trình bày lại VND > Điều chỉnh chỉ tiêu trên Báo cáo kết quả kinh doanh,Chênh lệch > Điều chỉnh chỉ tiêu trên Báo cáo kết quả kinh doanh,Ghi chú > Điều chỉnh chỉ tiêu trên Báo cáo kết quả kinh doanh,numeric__Mã số > Điều chỉnh chỉ tiêu trên Báo cáo kết quả kinh doanh,numeric__Năm trước > Đã kiểm toán VND > Điều chỉnh chỉ tiêu trên Báo cáo kết quả kinh doanh,numeric__Năm trước > Trình bày lại VND > Điều chỉnh chỉ tiêu trên Báo cáo kết quả kinh doanh,numeric__Chênh lệch > Điều chỉnh chỉ tiêu trên Báo cáo kết quả kinh doanh,numeric__Ghi chú > Điều chỉnh chỉ tiêu trên Báo cáo kết quả kinh doanh
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,70,1.731,1.693,(38),(i),70.0,1731.0,1693.0,-38.0,
Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,71,-,1648,1.648,,71.0,,1648.0,1648.0,
