row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,300,,576.364.909.277,1.343.363.688.956,300.0,,576364909277.0,1343363688956.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,543.281.500.921,1.041.317.996.020,310.0,,543281500921.0,1041317996020.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,16,103.293.248.207,291.695.198.046,311.0,16.0,103293248207.0,291695198046.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,,7.668.528.249,2.625.366.251,312.0,,7668528249.0,2625366251.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,17,45.978.550.165,51.962.509.190,313.0,17.0,45978550165.0,51962509190.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,36.785.562.136,29.188.852.184,314.0,,36785562136.0,29188852184.0
5. Chỉ phí phải trả ngắn hạn,5. Chỉ phí phải trả ngắn hạn,5. Chỉ phí phải trả ngắn hạn,315,18,24.440.509.581,22.518.798.494,315.0,18.0,24440509581.0,22518798494.0
6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,318,,202.593.478,193.950.045,318.0,,202593478.0,193950045.0
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,19,20.911.752.017,18.921.768.760,319.0,19.0,20911752017.0,18921768760.0
8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,320,20,291.867.279.413,617.064.141.446,320.0,20.0,291867279413.0,617064141446.0
