row_label_raw,row_label_full,col_0,Năm nay,Năm nay_1,Năm trước,Năm trước_1,numeric__Năm nay,numeric__Năm nay_1,numeric__Năm trước,numeric__Năm trước_1
,,,Giá gốcVND,Dự phòngVND,Giá gốcVND,Dự phòngVND,,,,
Chi phí sản xuất dở dang,Chi phí sản xuất dở dang,Chi phí sản xuất dở dang,Chi phí sản xuất dở dang,Chi phí sản xuất dở dang,Chi phí sản xuất dở dang,Chi phí sản xuất dở dang,,,,
Chi phí đầu tư vùngnguyên liệu dự án tạiHậu Giang,Chi phí sản xuất dở dang > Chi phí đầu tư vùngnguyên liệu dự án tạiHậu Giang,Chi phí đầu tư vùngnguyên liệu dự án tạiHậu Giang,3.418.123.704,-,3.306.981.265,-,3418123704.0,,3306981265.0,
"Chi phí xây dựng, mua sắm tài sân cố định","Chi phí xây dựng, mua sắm tài sân cố định","Chi phí xây dựng, mua sắm tài sân cố định","Chi phí xây dựng, mua sắm tài sân cố định","Chi phí xây dựng, mua sắm tài sân cố định","Chi phí xây dựng, mua sắm tài sân cố định","Chi phí xây dựng, mua sắm tài sân cố định",,,,
- Chi phí mua Vănphòng Lê Văn Lương,"Chi phí xây dựng, mua sắm tài sân cố định > - Chi phí mua Vănphòng Lê Văn Lương",- Chi phí mua Vănphòng Lê Văn Lương,40.584.251.404,-,-,-,40584251404.0,,,
- Mua sắm tài sản cố định,"Chi phí xây dựng, mua sắm tài sân cố định > - Mua sắm tài sản cố định",- Mua sắm tài sản cố định,10.375.665.000,-,-,-,10375665000.0,,,
- Mua đất chưa hoànthành thủ tục sang tên,"Chi phí xây dựng, mua sắm tài sân cố định > - Mua đất chưa hoànthành thủ tục sang tên",- Mua đất chưa hoànthành thủ tục sang tên,9.490.344.520,-,9.490.344.520,-,9490344520.0,,9490344520.0,
- Đầu tư xây dựng nhàmáy tại Hậu Giang,"Chi phí xây dựng, mua sắm tài sân cố định > - Đầu tư xây dựng nhàmáy tại Hậu Giang",- Đầu tư xây dựng nhàmáy tại Hậu Giang,4.888.387.833,-,-,-,4888387833.0,,,
- Các công trình khác,"Chi phí xây dựng, mua sắm tài sân cố định > - Các công trình khác",- Các công trình khác,2.350.380.000,-,3.595.016.226,-,2350380000.0,,3595016226.0,
Cộng,"Chi phí xây dựng, mua sắm tài sân cố định > Cộng",Cộng,71.107.152.461,-,16.392.342.011,-,71107152461.0,,16392342011.0,
