row_label_raw,row_label_full,Năm nay,Năm nay_1,Năm trước,Năm trước_1,numeric__Năm nay_1,numeric__Năm trước,numeric__Năm trước_1
Tỷ lệ biểu quyết%,Tỷ lệ biểu quyết%,Tỷ lệ biểu quyết%,Tỷ lệ sở hữu%,Tỷ lệ biểu quyết%,Tỷ lệ sở hữu%,,,
"49,08%","Tỷ lệ biểu quyết% > 49,08%","49,08%","33,07%","46,68%","46,68%",0.3307,0.4668,0.4668
"49,00%","Tỷ lệ biểu quyết% > 49,00%","49,00%","33,02%",0%,0%,0.33020000000000005,0.0,0.0
