row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quyền chọn chuyển đổi trái phiếu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Vốn khác,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quyền chọn chuyển đổi trái phiếu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Vốn khác,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư tại ngày đầu năm trước,Số dư tại ngày đầu năm trước,Số dư tại ngày đầu năm trước,499.999.940.000,15.260.716.800,-,4.255.447.645,141.083.940.252,-,129.009.392.442,789.609.437.139,499999940000.0,15260716800.0,,4255447645.0,141083940252.0,,129009392442.0,789609437139.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,245.265.052.084,-,60.449.636.852,305.714.688.936,,,,,245265052084.0,,60449636852.0,305714688936.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,1.217.126.650.000,-,8.490.566.038,-,-,-,-,1.225.617.216.038,1217126650000.0,,8490566038.0,,,,,1225617216038.0
Phát hành cổ phiếu chia cổ tức,Phát hành cổ phiếu chia cổ tức,Phát hành cổ phiếu chia cổ tức,74.998.180.000,-,-,-,(74.998.180.000),-,-,-,74998180000.0,,,,-74998180000.0,,,
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,-,-,-,-,-,,,,,,,,
Tăng/(Giảm) do hợp nhất Công ty con,Phân phối lợi nhuận > Tăng/(Giảm) do hợp nhất Công ty con,Tăng/(Giảm) do hợp nhất Công ty con,-,-,-,(3.368.595.232),(49.788.560.308),-,789.845.923.634,736.688.768.094,,,,-3368595232.0,-49788560308.0,,789845923634.0,736688768094.0
Tăng/giảm khác,Phân phối lợi nhuận > Tăng/giảm khác,Tăng/giảm khác,-,(455.560.624),-,-,-,-,-,(455.520.624),,-455560624.0,,,,,,-455520624.0
Số dư tại ngày đầu năm nay,Phân phối lợi nhuận > Số dư tại ngày đầu năm nay,Số dư tại ngày đầu năm nay,1.792.124.770.000,14.805.156.176,8.490.566.038,886.852.413,261.562.252.028,-,979.304.952.928,3.057.174.549.583,1792124770000.0,14805156176.0,8490566038.0,886852413.0,261562252028.0,,979304952928.0,3057174549583.0
Trái phiếu chuyển đổi (Giá trị quyền chọn cổ phiếu) (i),Phân phối lợi nhuận > Trái phiếu chuyển đổi (Giá trị quyền chọn cổ phiếu) (i),Trái phiếu chuyển đổi (Giá trị quyền chọn cổ phiếu) (i),300.000.000.000,-,-,-,-,-,-,300.000.000.000,300000000000.0,,,,,,,300000000000.0
Lợi nhuận trong năm,Phân phối lợi nhuận > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,112.029.561.244,-,31.654.578.303,143.684.139.547,,,,,112029561244.0,,31654578303.0,143684139547.0
Phát hành cổ phiếu chia cổ tức (ii),Phân phối lợi nhuận > Phát hành cổ phiếu chia cổ tức (ii),Phát hành cổ phiếu chia cổ tức (ii),143.364.850.000,-,-,-,(143.364.850.000),-,-,-,143364850000.0,,,,-143364850000.0,,,
DCL chia cổ phiếu thường,Phân phối lợi nhuận > DCL chia cổ phiếu thường,DCL chia cổ phiếu thường,-,-,-,-,-,80.481.887.391,-,80.481.887.391,,,,,,80481887391.0,,80481887391.0
Tăng do hợp nhất TSC,Phân phối lợi nhuận > Tăng do hợp nhất TSC,Tăng do hợp nhất TSC,-,-,-,-,-,-,234.656.472.205,234.656.472.205,,,,,,,234656472205.0,234656472205.0
Tăng/(Giảm) do mua thêm/chuyển nhượng một phần lợi ích trong Công ty con,Phân phối lợi nhuận > Tăng/(Giảm) do mua thêm/chuyển nhượng một phần lợi ích trong Công ty con,Tăng/(Giảm) do mua thêm/chuyển nhượng một phần lợi ích trong Công ty con,-,-,-,-,(43.112.312.706),-,-,(43.112.312.706),,,,,-43112312706.0,,,-43112312706.0
Chuyển nhượng một phần lợi ích trong Công ty con TSC,Phân phối lợi nhuận > Chuyển nhượng một phần lợi ích trong Công ty con TSC,Chuyển nhượng một phần lợi ích trong Công ty con TSC,-,-,-,-,-,-,33.437.456.653,33.437.456.653,,,,,,,33437456653.0,33437456653.0
Tăng/ (giảm khác) (iii),Phân phối lợi nhuận > Tăng/ (giảm khác) (iii),Tăng/ (giảm khác) (iii),-,8.479.566.038,(8.490.566.038),-,(6.176.438.707),,,(6.187.438.707),,8479566038.0,-8490566038.0,,-6176438707.0,,,-6187438707.0
Mua thêm một phần lợi ích trong Công ty con DCL,Phân phối lợi nhuận > Mua thêm một phần lợi ích trong Công ty con DCL,Mua thêm một phần lợi ích trong Công ty con DCL,-,-,-,-,-,-,(35.567.672.203),(35.567.672.203),,,,,,,-35567672203.0,-35567672203.0
Giảm khác,Phân phối lợi nhuận > Giảm khác,Giảm khác,-,-,-,-,(1.608.681.297),-,-,(1.608.681.297),,,,,-1608681297.0,,,-1608681297.0
Số dư tại ngày cuối năm nay,Phân phối lợi nhuận > Số dư tại ngày cuối năm nay,Số dư tại ngày cuối năm nay,2.235.489.620.000,23.284.722.214,-,886.852.413,179.329.530.562,80.481.887.391,1.243.485.787.886,3.762.958.400.466,2235489620000.0,23284722214.0,,886852413.0,179329530562.0,80481887391.0,1243485787886.0,3762958400466.0
