row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Trong kỳ > Tăng,Trong kỳ > Giảm,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Trong kỳ > Tăng,numeric__Trong kỳ > Giảm,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
a) Vay ngắn hạn (i),a) Vay ngắn hạn (i),a) Vay ngắn hạn (i),291.867.279.413,291.867.279.413,7.268.869.405.884,7.594.066.267.917,617.064.141.446,617.064.141.446,291867279413.0,291867279413.0,7268869405884.0,7594066267917.0,617064141446.0,617064141446.0
-Vay ngắn hàng,-Vay ngắn hàng,-Vay ngắn hàng,284.819.879.413,284.819.879.413,7.260.356.917.016,7.590.808.979.347,615.271.941.744,615.271.941.744,284819879413.0,284819879413.0,7260356917016.0,7590808979347.0,615271941744.0,615271941744.0
+ Ngân hàng VP Bank,+ Ngân hàng VP Bank,+ Ngân hàng VP Bank,-,-,1.254.000.000.000,1.484.000.000.000,230.000.000.000,230.000.000.000,,,1254000000000.0,1484000000000.0,230000000000.0,230000000000.0
+ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,+ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,+ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,118.316.572.252,118.316.572.252,4.592.706.942.826,4.627.592.213.530,153.201.842.956,153.201.842.956,118316572252.0,118316572252.0,4592706942826.0,4627592213530.0,153201842956.0,153201842956.0
+ Ngân hàng TMCP Quốc Tế Việt Nam,+ Ngân hàng TMCP Quốc Tế Việt Nam,+ Ngân hàng TMCP Quốc Tế Việt Nam,53.321.978,53.321.978,60.114.127.112,60.060.805.134,-,-,53321978.0,53321978.0,60114127112.0,60060805134.0,,
+ Ngân hàng TMCP Ngoại Thương Việt Nam - CN Nam Hà Nội,+ Ngân hàng TMCP Ngoại Thương Việt Nam - CN Nam Hà Nội,+ Ngân hàng TMCP Ngoại Thương Việt Nam - CN Nam Hà Nội,-,-,20.000.000.000,20.000.000.000,-,-,,,20000000000.0,20000000000.0,,
+ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Vĩnh Long,+ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Vĩnh Long,+ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Vĩnh Long,19.472.795.837,19.472.795.837,163.073.667.203,255.136.245.883,111.535.374.517,111.535.374.517,19472795837.0,19472795837.0,163073667203.0,255136245883.0,111535374517.0,111535374517.0
+ Ngân hàng TMCP Ngoại thương Việt Nam - CN Vĩnh Long,+ Ngân hàng TMCP Ngoại thương Việt Nam - CN Vĩnh Long,+ Ngân hàng TMCP Ngoại thương Việt Nam - CN Vĩnh Long,32.291.691.513,32.291.691.513,157.537.394.666,137.853.105.966,12.607.402.813,12.607.402.813,32291691513.0,32291691513.0,157537394666.0,137853105966.0,12607402813.0,12607402813.0
+ Ngân hàng TMCP Quân đội - Chi nhánh Cần Thơ,+ Ngân hàng TMCP Quân đội - Chi nhánh Cần Thơ,+ Ngân hàng TMCP Quân đội - Chi nhánh Cần Thơ,41.446.043.766,41.446.043.766,152.663.329.266,131.694.563.975,20.477.278.475,20.477.278.475,41446043766.0,41446043766.0,152663329266.0,131694563975.0,20477278475.0,20477278475.0
+ Ngân hàng TMCP Công thương Việt Nam - CN Cần Thơ,+ Ngân hàng TMCP Công thương Việt Nam - CN Cần Thơ,+ Ngân hàng TMCP Công thương Việt Nam - CN Cần Thơ,22.931.621.512,22.931.621.512,37.531.621.512,14.600.000.000,-,-,22931621512.0,22931621512.0,37531621512.0,14600000000.0,,
+ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - BIDV CN Thái Hà,+ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - BIDV CN Thái Hà,+ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - BIDV CN Thái Hà,-,-,10.585.886.731,21.934.492.902,11.348.606.171,11.348.606.171,,,10585886731.0,21934492902.0,11348606171.0,11348606171.0
+ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - BIDV HBT,+ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - BIDV HBT,+ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - BIDV HBT,9.016.263,9.016.263,413.149.697.441,413.332.668.209,191.987.031,191.987.031,9016263.0,9016263.0,413149697441.0,413332668209.0,191987031.0,191987031.0
+ Ngân hàng TMCP Việt Nam Thịnh Vương - Hội sở chính,+ Ngân hàng TMCP Việt Nam Thịnh Vương - Hội sở chính,+ Ngân hàng TMCP Việt Nam Thịnh Vương - Hội sở chính,-,-,70.000.000.000,70.000.000.000,-,-,,,70000000000.0,70000000000.0,,
+ Ngân hàng TMCP Ngoại thương - CN Cần Thơ,+ Ngân hàng TMCP Ngoại thương - CN Cần Thơ,+ Ngân hàng TMCP Ngoại thương - CN Cần Thơ,22.079.746.800,22.079.746.800,224.408.093.177,228.296.634.377,25.968.288.000,25.968.288.000,22079746800.0,22079746800.0,224408093177.0,228296634377.0,25968288000.0,25968288000.0
+ Ngân hàng TMCP Công thương Việt Nam - CN Cần Thơ,+ Ngân hàng TMCP Công thương Việt Nam - CN Cần Thơ,+ Ngân hàng TMCP Công thương Việt Nam - CN Cần Thơ,-,-,43.933.431.237,81.012.603.498,37.079.172.261,37.079.172.261,,,43933431237.0,81012603498.0,37079172261.0,37079172261.0
+ Ngân hàng BIDV - CN HCM,+ Ngân hàng BIDV - CN HCM,+ Ngân hàng BIDV - CN HCM,28.219.069.492,28.219.069.492,60.652.725.845,32.433.656.353,-,-,28219069492.0,28219069492.0,60652725845.0,32433656353.0,,
