row_label_raw,row_label_full,CHỈ TIỀU,Mã,Năm nay,Năm trước,numeric__Mã,numeric__Năm nay,numeric__Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,
1. Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,195.733.812.229,380.316.249.126,1.0,195733812229.0,380316249126.0
2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,,
"- Khấu hao TSCĐ, BĐSĐT, phân bổ lợi thế thương mại","2. Điều chỉnh cho các khoản > - Khấu hao TSCĐ, BĐSĐT, phân bổ lợi thế thương mại","- Khấu hao TSCĐ, BĐSĐT, phân bổ lợi thế thương mại",02,62.185.546.628,42.997.414.045,2.0,62185546628.0,42997414045.0
- Các khoản dự phòng,2. Điều chỉnh cho các khoản > - Các khoản dự phòng,- Các khoản dự phòng,03,14.395.651.300,(8.718.528.203),3.0,14395651300.0,-8718528203.0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục","2. Điều chỉnh cho các khoản > - Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục","- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục",04,403.924.469,1.143.316.614,4.0,403924469.0,1143316614.0
tiền tệ có gốc ngoại tệ,tiền tệ có gốc ngoại tệ,tiền tệ có gốc ngoại tệ,tiền tệ có gốc ngoại tệ,tiền tệ có gốc ngoại tệ,tiền tệ có gốc ngoại tệ,,,
"- Lãi, lỗ từ hoạt động đầu tư","tiền tệ có gốc ngoại tệ > - Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư",05,(148.855.818.065),(169.607.625.160),5.0,-148855818065.0,-169607625160.0
- Chi phí lãi vay,tiền tệ có gốc ngoại tệ > - Chi phí lãi vay,- Chi phí lãi vay,06,50.935.974.764,25.726.718.590,6.0,50935974764.0,25726718590.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,tiền tệ có gốc ngoại tệ > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,174.799.091.325,271.857.545.012,8.0,174799091325.0,271857545012.0
