row_label_raw,row_label_full,col_0,Năm nay > Giá trị,Năm nay > Dự phòng,Năm trước > Giá trị,Năm trước > Dự phòng,numeric__Năm nay > Giá trị,numeric__Năm nay > Dự phòng,numeric__Năm trước > Giá trị,numeric__Năm trước > Dự phòng
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,VND44.257.064.854,VND(8.419.877.890),VND80.360.482.828,VND(6.314.804.209),,,,
Lãi dự thu,a) Ngắn hạn > Lãi dự thu,Lãi dự thu,26.460.208.435,(1.238.315.518),22.180.543.914,(875.235.616),26460208435.0,-1238315518.0,22180543914.0,-875235616.0
"Ký quỹ, ký cược","a) Ngắn hạn > Ký quỹ, ký cược","Ký quỹ, ký cược",62.090.320,-,6.688.750.677,-,62090320.0,,6688750677.0,
Tạm ứng,a) Ngắn hạn > Tạm ứng,Tạm ứng,5.185.152.015,(710.286.516),5.635.676.734,-,5185152015.0,-710286516.0,5635676734.0,
"Phải thu chi phí bán hàng, marketing","a) Ngắn hạn > Phải thu chi phí bán hàng, marketing","Phải thu chi phí bán hàng, marketing",4.391.060.504,(3.924.082.450),7.799.292.643,(5.439.568.593),4391060504.0,-3924082450.0,7799292643.0,-5439568593.0
Phải thu CP thành lập nhà máy Westfood Hậu Giang,a) Ngắn hạn > Phải thu CP thành lập nhà máy Westfood Hậu Giang,Phải thu CP thành lập nhà máy Westfood Hậu Giang,-,-,30.130.000.000,-,,,30130000000.0,
Ứng tiền làm thủ tục xây dựng Nhà máy sẵn Bình Định,a) Ngắn hạn > Ứng tiền làm thủ tục xây dựng Nhà máy sẵn Bình Định,Ứng tiền làm thủ tục xây dựng Nhà máy sẵn Bình Định,3.500.000.000,(1.750.000.000),3.500.000.000,-,3500000000.0,-1750000000.0,3500000000.0,
Phải thu khác,a) Ngắn hạn > Phải thu khác,Phải thu khác,4.658.553.580,(797.193.406),4.426.218.860,-,4658553580.0,-797193406.0,4426218860.0,
b) Dài hạn,a) Ngắn hạn > b) Dài hạn,b) Dài hạn,6.261.870.115,-,1.458.235.000,-,6261870115.0,,1458235000.0,
"Ký cược, ký quỹ","a) Ngắn hạn > Ký cược, ký quỹ","Ký cược, ký quỹ",6.261.870.115,-,1.458.235.000,-,6261870115.0,,1458235000.0,
Cộng,a) Ngắn hạn > Cộng,Cộng,50.518.934.969,(8.419.877.890),81.818.717.828,(6.314.804.209),50518934969.0,-8419877890.0,81818717828.0,-6314804209.0
